variant,demo,run,parse_ms,p1_ms,p2_ms,p3_ms,parse_pause_ms,parse_alloc_mb,retained_mb,gen0,gen1,gen2,build_ms,eval_ms,eval_pause_ms,eval_alloc_mb,frames,inner_messages,enum_ms,enum_alloc_mb,enum_pause_ms,walked,eval_gen0,eval_gen1,eval_gen2,load1
main-ecfc03d,match730_003772273407471648848_0265700985_129.dem,1,399.34,14.90,346.64,37.52,196.04,813.6,592.5,78,21,1,21.38,1457.67,433.43,629.7,123283,1421353,95.98,117.8,2.04,117145,81,29,1,2.33
main-ecfc03d,match730_003776138027634524837_1685184808_389.dem,1,381.32,14.85,329.45,36.70,184.71,785.1,575.7,74,20,1,22.43,1407.13,419.25,618.2,123467,1422604,95.28,118.0,2.18,117315,79,28,1,2.23
main-ecfc03d,match730_003776517348408688739_1163782782_410.dem,1,380.43,14.48,332.77,32.81,185.07,795.6,603.4,77,20,1,22.75,1584.80,472.85,672.8,121233,1400111,89.14,116.3,2.17,115193,86,32,1,1.96
main-ecfc03d,match730_003777343659314249787_1857131197_392.dem,1,421.34,17.61,366.64,36.80,215.11,816.7,653.1,76,23,1,21.07,1465.08,434.04,628.2,149109,1603153,107.99,132.1,2.52,142239,79,29,1,2.42
main-ecfc03d,match730_003778819064332288309_2122969707_408.dem,1,387.71,15.61,336.55,35.27,193.62,791.3,614.6,75,20,1,20.98,1557.96,428.57,637.7,130670,1493559,101.00,123.9,14.78,124165,81,29,1,2.50
main-ecfc03d,match730_003772273407471648848_0265700985_129.dem,2,381.15,15.08,331.52,34.25,181.64,815.6,594.3,78,21,1,21.36,1400.79,417.59,629.9,123283,1421353,87.25,117.9,1.87,117145,81,29,1,2.10
main-ecfc03d,match730_003776138027634524837_1685184808_389.dem,2,381.26,14.61,326.80,39.56,187.67,786.9,576.7,74,20,1,21.60,1310.46,412.65,618.1,123467,1422604,89.48,118.0,2.12,117315,80,30,1,1.79
main-ecfc03d,match730_003776517348408688739_1163782782_410.dem,2,388.28,14.43,341.54,32.03,189.22,793.3,601.5,77,20,1,22.17,1584.91,490.15,672.6,121233,1400111,84.66,116.3,2.08,115193,86,32,1,2.11
main-ecfc03d,match730_003777343659314249787_1857131197_392.dem,2,406.56,17.50,346.03,42.72,200.63,814.3,651.0,76,22,1,21.13,1408.37,421.76,628.2,149109,1603153,102.78,132.1,2.51,142239,80,30,1,1.87
main-ecfc03d,match730_003778819064332288309_2122969707_408.dem,2,383.39,15.39,332.34,35.39,190.59,790.8,613.6,75,20,1,21.71,1414.28,430.87,637.6,130670,1493559,96.27,123.9,2.11,124165,81,29,1,1.98
main-ecfc03d,match730_003772273407471648848_0265700985_129.dem,3,377.18,14.71,326.00,36.21,179.54,818.7,597.4,78,20,1,21.84,1426.57,427.81,629.7,123283,1421353,88.53,117.8,1.84,117145,81,28,1,2.17
main-ecfc03d,match730_003776138027634524837_1685184808_389.dem,3,367.98,14.65,318.81,34.25,176.94,788.0,578.4,74,20,1,21.84,1368.55,412.90,618.2,123467,1422604,93.57,118.0,2.51,117315,79,29,1,1.97
main-ecfc03d,match730_003776517348408688739_1163782782_410.dem,3,369.84,14.31,322.62,32.65,176.44,792.2,600.3,77,20,1,21.64,1655.71,472.19,672.9,121233,1400111,98.68,116.3,15.10,115193,87,31,1,2.30
main-ecfc03d,match730_003777343659314249787_1857131197_392.dem,3,416.33,17.47,354.84,43.71,206.31,813.3,650.2,76,22,1,21.13,1359.08,417.37,628.3,149109,1603153,96.46,132.1,2.15,142239,79,28,1,2.43
main-ecfc03d,match730_003778819064332288309_2122969707_408.dem,3,381.82,15.35,329.74,36.45,188.47,790.3,613.3,75,20,1,20.76,1417.23,433.69,637.5,130670,1493559,89.70,123.9,2.05,124165,82,30,1,2.04
main-ecfc03d,match730_003772273407471648848_0265700985_129.dem,4,388.54,14.68,335.76,37.83,186.78,812.6,591.3,78,21,1,22.10,1364.16,425.41,629.7,123283,1421353,88.71,117.8,1.83,117145,81,30,1,3.59
main-ecfc03d,match730_003776138027634524837_1685184808_389.dem,4,377.43,14.50,326.66,35.96,182.63,788.1,578.2,74,20,1,22.04,1374.92,413.38,618.2,123467,1422604,86.74,118.0,2.35,117315,79,27,1,3.15
main-ecfc03d,match730_003776517348408688739_1163782782_410.dem,4,373.11,14.63,325.51,32.70,178.57,793.4,601.6,77,20,1,21.21,1636.93,473.17,672.8,121233,1400111,89.19,116.3,1.71,115193,86,31,1,2.98
main-ecfc03d,match730_003777343659314249787_1857131197_392.dem,4,409.92,17.67,355.11,36.83,204.61,813.5,650.2,76,22,1,20.97,1371.15,422.00,628.2,149109,1603153,106.24,132.1,2.09,142239,79,27,1,3.09
main-ecfc03d,match730_003778819064332288309_2122969707_408.dem,4,383.54,15.58,334.65,33.03,190.90,791.3,614.8,75,20,1,20.97,1418.26,417.20,637.6,130670,1493559,95.91,123.9,2.07,124165,81,29,1,3.20
main-ecfc03d,match730_003772273407471648848_0265700985_129.dem,5,377.64,14.75,328.93,33.70,176.83,819.6,598.3,78,21,1,20.81,1334.43,419.46,629.8,123283,1421353,93.53,117.8,1.95,117145,80,29,1,2.70
main-ecfc03d,match730_003776138027634524837_1685184808_389.dem,5,378.78,14.71,326.03,37.76,181.79,787.2,577.4,74,19,1,21.04,1354.59,424.69,618.2,123467,1422604,90.02,118.0,2.45,117315,80,30,1,3.40
main-ecfc03d,match730_003776517348408688739_1163782782_410.dem,5,379.01,14.40,328.70,35.63,180.09,795.5,603.8,77,21,1,22.67,1557.36,470.57,672.8,121233,1400111,102.94,116.3,14.42,115193,86,30,1,3.30
main-ecfc03d,match730_003777343659314249787_1857131197_392.dem,5,410.53,17.57,354.53,38.19,207.76,813.4,650.5,76,22,1,20.64,1308.33,424.06,628.2,149109,1603153,96.55,132.1,2.08,142239,80,29,1,2.80
main-ecfc03d,match730_003778819064332288309_2122969707_408.dem,5,383.38,15.52,332.45,35.12,185.20,789.3,613.5,75,20,1,21.21,1370.56,419.37,637.6,130670,1493559,100.47,123.9,2.05,124165,81,29,1,2.13
main-ecfc03d,match730_003772273407471648848_0265700985_129.dem,6,398.07,14.70,345.59,37.52,194.03,816.1,594.6,78,21,1,21.19,1433.91,426.25,629.7,123283,1421353,99.22,117.8,1.90,117145,81,30,1,2.04
main-ecfc03d,match730_003776138027634524837_1685184808_389.dem,6,379.06,14.52,329.56,34.69,184.83,787.1,576.6,74,20,1,21.84,1272.29,414.69,618.1,123467,1422604,95.17,118.0,2.15,117315,79,28,1,1.81
main-ecfc03d,match730_003776517348408688739_1163782782_410.dem,6,369.55,14.29,321.43,33.57,174.01,796.2,604.3,77,20,1,20.97,1573.43,465.19,672.8,121233,1400111,89.69,116.3,1.69,115193,86,31,1,1.50
main-ecfc03d,match730_003777343659314249787_1857131197_392.dem,6,405.47,17.44,347.85,39.88,203.83,818.6,655.2,76,22,1,21.00,1325.83,426.97,628.2,149109,1603153,118.39,132.1,16.01,142239,80,29,1,1.61
main-ecfc03d,match730_003778819064332288309_2122969707_408.dem,6,388.89,15.34,338.53,34.72,196.92,794.9,617.9,75,20,1,21.32,1569.77,429.49,637.5,130670,1493559,96.34,123.9,1.93,124165,81,30,1,2.00
main-ecfc03d,match730_003772273407471648848_0265700985_129.dem,7,385.74,14.83,337.26,33.37,188.70,815.1,593.7,78,20,1,21.95,1299.15,427.69,629.7,123283,1421353,93.58,117.8,1.87,117145,81,30,1,2.35
main-ecfc03d,match730_003776138027634524837_1685184808_389.dem,7,381.31,14.62,330.96,35.44,189.71,789.0,578.7,74,19,1,21.04,1310.06,422.82,618.2,123467,1422604,86.48,118.0,2.43,117315,79,28,1,2.60
main-ecfc03d,match730_003776517348408688739_1163782782_410.dem,7,377.54,14.28,331.17,31.81,185.06,794.3,602.3,77,21,1,20.93,1557.13,470.63,672.9,121233,1400111,97.15,116.3,15.07,115193,86,31,1,2.78
main-ecfc03d,match730_003777343659314249787_1857131197_392.dem,7,419.01,17.53,361.16,40.01,212.48,815.3,652.1,76,23,1,21.42,1373.81,425.26,628.1,149109,1603153,96.87,132.1,2.21,142239,80,30,1,2.28
main-ecfc03d,match730_003778819064332288309_2122969707_408.dem,7,379.60,15.53,330.18,33.58,187.76,790.5,614.2,75,20,1,21.03,1392.31,430.36,637.6,130670,1493559,93.07,123.9,1.96,124165,82,28,1,1.99
main-ecfc03d,match730_003772273407471648848_0265700985_129.dem,8,388.73,14.78,333.21,40.48,184.88,815.9,594.5,78,21,1,21.00,1322.91,416.50,629.8,123283,1421353,88.94,117.8,1.85,117145,81,29,1,2.04
main-ecfc03d,match730_003776138027634524837_1685184808_389.dem,8,370.71,14.78,319.16,36.48,176.73,782.9,573.7,74,19,1,21.63,1354.13,406.45,618.1,123467,1422604,90.25,118.0,2.12,117315,79,29,1,2.46
