variant,demo,run,parse_ms,p1_ms,p2_ms,p3_ms,parse_pause_ms,parse_alloc_mb,retained_mb,gen0,gen1,gen2,build_ms,eval_ms,eval_pause_ms,eval_alloc_mb,frames,inner_messages,enum_ms,enum_alloc_mb,enum_pause_ms,walked,eval_gen0,eval_gen1,eval_gen2,load1
before,match730_003780635290037649646_0665775997_405.dem,1,229.71,8.68,199.59,21.22,118.39,430.0,242.9,40,11,1,25.20,1020.13,292.03,408.5,71567,815443,60.55,67.6,1.75,67691,53,18,1,2.40
after,match730_003780635290037649646_0665775997_405.dem,1,245.10,8.74,212.00,24.08,126.74,430.8,243.8,40,11,1,32.97,834.76,213.06,363.2,71567,815443,54.07,67.6,1.14,67691,48,14,1,2.59
after,match730_003780635290037649646_0665775997_405.dem,2,238.24,8.73,206.28,22.99,120.14,429.9,242.9,40,11,1,31.78,819.62,209.42,363.1,71567,815443,54.72,67.6,1.29,67691,47,14,1,2.99
before,match730_003780635290037649646_0665775997_405.dem,2,241.82,8.73,211.59,21.25,127.78,431.0,244.0,40,11,1,30.39,1004.37,292.39,408.5,71567,815443,58.99,67.6,8.02,67691,53,18,1,2.99
before,match730_003780635290037649646_0665775997_405.dem,3,241.90,8.73,209.26,23.68,126.99,429.7,242.8,40,11,1,26.99,1014.62,288.04,408.6,71567,815443,56.01,67.6,1.60,67691,53,18,1,3.65
after,match730_003780635290037649646_0665775997_405.dem,3,241.96,8.45,207.13,26.14,120.89,428.9,241.9,40,11,1,30.55,1673.95,217.23,370.9,71567,815443,60.04,67.6,1.69,67691,47,13,1,3.42
after,match730_003780635290037649646_0665775997_405.dem,4,241.74,8.81,210.22,22.47,123.21,432.1,244.9,40,11,1,25.39,1541.96,222.56,369.5,71567,815443,56.03,67.6,1.49,67691,47,14,1,3.57
before,match730_003780635290037649646_0665775997_405.dem,4,236.36,8.57,204.92,22.64,120.72,431.9,244.9,40,11,1,25.64,1703.56,315.05,415.1,71567,815443,60.10,67.6,1.69,67691,53,18,1,3.06
before,match730_003780635290037649646_0665775997_405.dem,5,235.83,8.62,205.40,21.59,123.57,429.7,242.7,39,10,0,25.31,1054.60,310.35,408.5,71567,815443,59.99,67.6,1.60,67691,54,19,1,2.95
after,match730_003780635290037649646_0665775997_405.dem,5,234.50,8.66,205.42,20.18,121.93,429.8,243.0,40,11,1,28.12,881.93,222.05,363.2,71567,815443,56.02,67.6,1.56,67691,48,15,1,2.80
after,match730_003780635290037649646_0665775997_405.dem,6,242.14,8.82,209.02,24.07,125.25,428.9,241.9,40,11,1,28.97,797.39,210.05,363.1,71567,815443,62.02,67.6,1.44,67691,48,14,1,2.74
before,match730_003780635290037649646_0665775997_405.dem,6,240.49,8.91,209.01,22.33,121.00,429.0,241.9,40,11,1,30.71,1728.77,308.39,415.3,71567,815443,64.29,67.6,9.43,67691,53,18,1,2.90
before,match730_003780635290037649646_0665775997_405.dem,7,244.15,8.43,211.92,23.56,126.58,429.9,242.9,40,11,1,25.42,1006.13,295.01,408.5,71567,815443,61.47,67.6,1.61,67691,53,19,1,3.58
after,match730_003780635290037649646_0665775997_405.dem,7,237.36,8.60,207.96,20.55,123.19,430.9,243.8,40,11,1,25.04,828.45,215.42,363.3,71567,815443,60.45,67.6,1.56,67691,48,14,1,3.66
after,match730_003780635290037649646_0665775997_405.dem,8,240.45,8.73,209.70,21.75,126.18,430.8,243.9,40,11,1,29.58,860.39,216.78,363.2,71567,815443,54.17,67.6,1.57,67691,48,14,1,3.56
before,match730_003780635290037649646_0665775997_405.dem,8,226.18,8.46,198.81,18.70,119.55,428.8,241.7,39,10,0,28.77,1070.80,302.43,408.6,71567,815443,61.57,67.6,1.73,67691,53,18,1,4.51
before,match730_003780635290037649646_0665775997_405.dem,9,228.47,8.79,199.48,19.97,119.18,429.8,242.7,39,10,0,28.41,1048.51,297.84,408.5,71567,815443,58.67,67.6,1.76,67691,53,19,1,3.79
after,match730_003780635290037649646_0665775997_405.dem,9,222.81,8.72,195.19,18.67,115.32,429.8,242.9,39,10,0,25.25,816.05,211.27,363.2,71567,815443,60.94,67.6,1.40,67691,47,15,1,3.61
after,match730_003780635290037649646_0665775997_405.dem,10,242.35,8.42,211.84,21.87,125.90,432.1,245.0,40,11,1,26.49,844.05,219.49,363.2,71567,815443,52.30,67.6,1.26,67691,47,15,1,4.00
before,match730_003780635290037649646_0665775997_405.dem,10,236.43,8.77,205.43,22.01,123.88,429.8,242.8,39,10,0,25.10,1756.39,307.14,415.0,71567,815443,59.58,67.6,1.65,67691,52,18,1,3.86
