variant,demo,run,parse_ms,p1_ms,p2_ms,p3_ms,parse_pause_ms,parse_alloc_mb,retained_mb,gen0,gen1,gen2,build_ms,eval_ms,eval_pause_ms,eval_alloc_mb,frames,inner_messages,enum_ms,enum_alloc_mb,enum_pause_ms,walked,eval_gen0,eval_gen1,eval_gen2,load1
base,match730_003772273407471648848_0265700985_129.dem,1,398.13,18.58,342.16,37.11,184.72,814.7,593.3,78,21,1,21.37,1419.07,438.84,629.9,123283,1421353,110.22,117.8,13.56,117145,81,29,1,2.85
delta,match730_003772273407471648848_0265700985_129.dem,1,398.88,18.67,343.76,36.12,194.37,814.8,593.4,78,21,1,22.40,941.62,286.20,549.1,123283,1421353,104.60,117.8,3.04,117145,70,21,0,2.17
base,match730_003776138027634524837_1685184808_389.dem,1,389.86,14.76,338.47,36.33,192.56,784.9,574.6,74,19,1,21.50,1265.02,415.05,618.1,123467,1422604,91.72,118.0,1.82,117315,79,27,1,2.50
delta,match730_003776138027634524837_1685184808_389.dem,1,373.18,15.45,321.92,35.53,179.88,790.4,580.3,74,20,1,21.30,906.65,277.58,537.9,123467,1422604,92.86,118.0,2.55,117315,68,22,0,3.01
base,match730_003776517348408688739_1163782782_410.dem,1,385.42,14.29,335.10,35.71,187.62,793.5,601.4,77,20,1,21.02,1514.01,467.17,672.8,121233,1400111,100.62,116.3,14.68,115193,86,32,1,4.81
delta,match730_003776517348408688739_1163782782_410.dem,1,368.56,14.38,321.25,32.63,174.06,796.4,604.7,77,20,1,21.05,1200.48,327.01,594.1,121233,1400111,90.12,116.3,2.22,115193,77,24,1,3.96
base,match730_003777343659314249787_1857131197_392.dem,1,408.09,17.57,349.32,40.90,202.82,813.5,650.2,76,23,1,20.77,1495.85,422.51,628.3,149109,1603153,97.31,132.1,2.20,142239,79,28,1,3.18
delta,match730_003777343659314249787_1857131197_392.dem,1,409.51,17.42,344.84,46.95,198.31,815.6,652.1,76,23,1,21.11,911.15,272.08,541.3,149109,1603153,97.33,132.1,2.46,142239,68,19,0,3.00
base,match730_003778819064332288309_2122969707_408.dem,1,388.47,15.46,337.12,35.61,191.48,789.4,612.5,75,20,1,21.32,1404.97,428.85,637.6,130670,1493559,100.63,123.9,14.87,124165,81,30,1,2.55
delta,match730_003778819064332288309_2122969707_408.dem,1,377.64,15.26,322.54,39.57,183.12,788.3,611.4,75,20,1,21.33,939.03,278.47,555.1,130670,1493559,101.64,123.9,15.62,124165,70,21,0,2.67
delta,match730_003772273407471648848_0265700985_129.dem,2,391.78,14.54,338.13,38.86,191.79,815.9,594.5,78,21,1,21.94,904.64,279.66,549.3,123283,1421353,92.37,117.8,2.59,117145,70,22,0,2.36
base,match730_003772273407471648848_0265700985_129.dem,2,388.44,14.53,335.67,37.98,185.60,819.2,597.7,78,20,1,21.48,1370.88,418.39,629.8,123283,1421353,103.14,117.8,13.36,117145,81,30,1,1.97
delta,match730_003776138027634524837_1685184808_389.dem,2,374.30,14.52,324.33,35.17,186.10,787.9,577.6,74,19,1,21.39,1025.78,277.69,538.0,123467,1422604,89.66,118.0,2.29,117315,68,20,0,1.82
base,match730_003776138027634524837_1685184808_389.dem,2,366.78,14.64,315.69,36.17,172.03,785.9,576.6,74,19,1,21.83,1306.62,409.40,618.2,123467,1422604,89.46,118.0,2.06,117315,79,29,1,1.59
delta,match730_003776517348408688739_1163782782_410.dem,2,367.72,14.29,317.25,35.92,175.78,794.2,603.2,77,20,1,21.59,1209.95,326.22,594.1,121233,1400111,83.08,116.3,2.33,115193,76,26,1,2.40
base,match730_003776517348408688739_1163782782_410.dem,2,391.71,14.35,338.13,38.95,190.01,796.8,604.3,77,20,1,20.82,1552.59,470.66,672.8,121233,1400111,96.44,116.3,14.62,115193,86,32,1,2.55
delta,match730_003777343659314249787_1857131197_392.dem,2,403.11,17.42,346.11,39.24,207.98,816.6,653.2,76,23,1,21.35,1075.53,271.09,541.2,149109,1603153,100.95,132.1,2.71,142239,67,21,0,2.62
