variant,demo,run,parse_ms,p1_ms,p2_ms,p3_ms,parse_pause_ms,parse_alloc_mb,retained_mb,gen0,gen1,gen2,build_ms,eval_ms,eval_pause_ms,eval_alloc_mb,frames,inner_messages,enum_ms,enum_alloc_mb,enum_pause_ms,walked,eval_gen0,eval_gen1,eval_gen2,load1
before,match730_003770625492944683328_1992712646_129.dem,1,736.10,43.15,626.04,66.55,370.40,1417.4,996.8,134,35,1,21.52,2293.37,790.22,1034.3,223628,2569893,165.77,213.3,4.77,212505,130,48,1,3.57
after,match730_003770625492944683328_1992712646_129.dem,1,681.35,30.41,591.83,58.76,349.00,1421.2,1001.0,134,36,1,20.93,1795.80,508.97,887.6,223628,2569893,164.15,213.3,4.25,212505,111,35,0,3.61
before,match730_003772273407471648848_0265700985_129.dem,1,383.71,14.89,328.72,39.81,179.60,817.7,596.2,78,21,1,21.56,1342.83,425.23,629.9,123283,1421353,97.11,117.8,2.00,117145,81,28,1,2.87
after,match730_003772273407471648848_0265700985_129.dem,1,387.11,14.88,335.21,36.73,188.65,812.5,591.4,78,21,1,22.23,1043.99,283.84,549.2,123283,1421353,99.37,117.8,2.20,117145,70,21,0,3.15
before,match730_003774064632172380508_1522348072_129.dem,1,713.59,26.95,627.45,58.85,365.23,1490.6,818.4,141,40,1,20.95,2203.30,811.65,1086.5,228902,2633111,167.45,218.6,4.86,217531,136,47,1,2.74
after,match730_003774064632172380508_1522348072_129.dem,1,724.71,31.64,622.64,70.00,363.50,1490.0,817.6,141,39,1,22.02,1938.35,517.78,931.5,228902,2633111,166.84,218.6,4.58,217531,116,39,0,3.17
before,match730_003774074388190593393_1164257366_406.dem,1,181.03,4.19,166.18,10.51,39.00,137.3,120.1,12,4,0,24.05,602.55,121.32,214.8,35731,212721,17.05,16.0,0.44,34980,29,11,1,2.98
after,match730_003774074388190593393_1164257366_406.dem,1,204.54,4.18,190.82,9.40,42.26,137.4,119.9,12,4,0,23.50,385.85,105.93,204.1,35731,212721,16.24,16.0,0.49,34980,28,11,1,2.47
before,match730_003774148188613640349_0469622444_125.dem,1,467.57,17.74,394.61,54.90,224.97,951.0,740.3,90,23,1,21.57,1623.56,492.47,712.5,145716,1674786,119.31,138.7,3.12,138499,91,32,1,2.23
after,match730_003774148188613640349_0469622444_125.dem,1,474.79,20.21,396.49,57.76,230.03,949.7,739.0,90,24,1,22.81,1189.25,313.69,615.1,145716,1674786,120.46,138.7,2.62,138499,78,23,0,2.73
before,match730_003774158895967109270_0748090338_404.dem,1,293.78,10.86,252.01,30.66,149.79,601.1,362.5,56,15,1,21.84,1153.69,341.90,494.1,91566,1055279,72.31,87.5,1.69,86995,65,23,1,2.66
after,match730_003774158895967109270_0748090338_404.dem,1,291.92,11.00,249.39,31.28,143.68,603.1,364.4,56,15,1,21.82,880.30,237.58,432.9,91566,1055279,69.98,87.5,1.61,86995,57,18,1,2.71
before,match730_003774170838123675757_1031274198_117.dem,1,482.82,19.47,414.22,48.77,229.99,1018.0,565.0,94,27,1,22.04,1452.60,508.86,746.3,162641,1874072,141.64,155.5,17.75,154556,95,34,1,2.91
after,match730_003774170838123675757_1031274198_117.dem,1,486.48,19.55,421.57,45.01,238.66,1019.0,565.7,94,28,1,21.48,1210.49,327.58,641.5,162641,1874072,121.12,155.5,3.00,154556,81,25,0,2.47
before,match730_003774267902237081923_1151265719_407.dem,1,225.70,6.72,208.83,9.96,73.56,209.8,123.0,19,6,0,22.00,653.43,203.32,277.5,59512,337107,23.67,25.2,0.57,58296,37,14,1,3.66
after,match730_003774267902237081923_1151265719_407.dem,1,206.90,6.72,188.61,11.39,59.56,210.7,190.4,19,6,0,21.39,525.35,151.04,263.3,59512,337107,24.88,25.2,0.76,58296,35,12,1,3.56
before,match730_003774343117851853026_1332064495_118.dem,1,322.92,12.93,269.11,40.64,171.81,623.7,422.6,58,16,1,26.38,1176.09,375.69,557.9,110442,1255848,78.36,104.2,2.02,105018,73,25,1,3.13
after,match730_003774343117851853026_1332064495_118.dem,1,319.28,13.02,272.86,33.12,165.34,627.5,426.5,58,15,1,25.29,1003.03,263.40,484.5,110442,1255848,74.42,104.2,2.10,105018,63,21,1,2.98
before,match730_003776138027634524837_1685184808_389.dem,1,379.36,14.57,331.10,33.41,186.57,790.2,579.8,74,20,1,22.04,1370.81,428.73,618.2,123467,1422604,95.41,118.0,2.00,117315,79,29,1,3.10
after,match730_003776138027634524837_1685184808_389.dem,1,372.14,14.58,316.70,40.56,176.99,784.5,575.5,74,20,1,21.13,923.10,267.78,537.9,123467,1422604,96.94,118.0,2.43,117315,68,23,0,6.35
before,match730_003776517348408688739_1163782782_410.dem,1,406.66,15.23,355.88,35.26,203.98,791.2,599.3,77,21,1,20.93,1527.63,460.78,672.9,121233,1400111,92.33,116.3,2.14,115193,86,32,1,6.12
after,match730_003776517348408688739_1163782782_410.dem,1,384.88,15.89,336.36,32.33,189.92,795.7,603.3,77,20,1,21.27,1168.76,320.67,594.0,121233,1400111,91.60,116.3,2.48,115193,76,25,1,5.35
before,match730_003777343659314249787_1857131197_392.dem,1,417.12,17.43,361.10,38.26,210.96,815.6,652.2,76,23,1,20.88,1434.66,429.30,628.2,149109,1603153,111.40,132.1,2.07,142239,79,28,1,4.31
after,match730_003777343659314249787_1857131197_392.dem,1,429.54,17.70,368.11,43.41,214.30,815.3,652.1,76,23,1,21.22,921.16,272.25,541.3,149109,1603153,120.74,132.1,16.81,142239,67,20,0,3.44
before,match730_003778819064332288309_2122969707_408.dem,1,403.34,15.70,346.83,40.51,200.20,791.7,614.9,75,21,1,21.12,1423.74,432.49,637.5,130670,1493559,106.06,123.9,2.16,124165,82,30,1,3.44
after,match730_003778819064332288309_2122969707_408.dem,1,391.53,15.60,338.07,37.55,196.30,789.6,612.6,75,20,1,21.14,954.99,283.51,555.1,130670,1493559,107.59,123.9,15.54,124165,70,21,0,2.97
before,match730_003779845759084527650_0449092279_123.dem,1,599.75,22.99,535.95,40.49,299.04,1269.8,818.2,118,30,1,21.80,1592.64,617.32,861.6,196844,2267875,173.16,188.1,10.98,187037,108,35,1,5.30
