variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
0a617f9,file-read,match730_003774074388190593393_1164257366_406.dem,40.0,1,58.39,40.1,0.00,0,0,0,0.1,40.2,0.3,0.3,38.7,79.7,0.0,4,0,41994063,14545CED155D85BB,6.52
0a617f9,message-scan,match730_003774074388190593393_1164257366_406.dem,40.0,1,153.15,24.1,0.79,2,0,0,0.1,8.8,0.3,10.3,38.5,97.6,0.0,9,35731,216327,D73207A3FD979414,6.00
0a617f9,game-events,match730_003774074388190593393_1164257366_406.dem,40.0,1,168.39,13.7,1.04,1,0,0,0.1,8.0,0.3,10.3,38.7,103.4,0.0,9,35731,2066,87FF1B51517EB1A9,6.00
0a617f9,entity-replay,match730_003774074388190593393_1164257366_406.dem,40.0,1,640.48,117.2,15.56,16,4,2,0.1,38.6,0.3,28.5,38.6,133.0,0.0,31,35731,10,374FE16E690989F3,5.52
0a617f9,materialised-replay,match730_003774074388190593393_1164257366_406.dem,40.0,1,775.00,216.1,44.31,19,8,3,0.1,217.1,0.3,162.8,38.6,224.0,0.0,36,35731,10,374FE16E690989F3,5.52
0a617f9,scoreboard-materialised,match730_003774074388190593393_1164257366_406.dem,40.0,1,1142.87,346.8,137.50,36,15,3,0.1,438.0,0.3,282.0,38.6,369.9,0.0,52,35731,72871,1AE75EE5C5EA9B82,5.07
0a617f9,scoreboard-stream,match730_003774074388190593393_1164257366_406.dem,40.0,1,2121.95,137.2,26.12,17,5,2,0.1,50.0,0.3,34.4,38.7,165.6,0.0,99,35731,36038,1AE75EE5C5EA9B82,5.07
0a617f9,file-read,match730_003774267902237081923_1151265719_407.dem,62.4,1,88.59,62.5,0.00,0,0,0,0.1,62.6,0.3,0.3,38.8,102.2,0.0,6,0,65469354,017B450587735DA8,4.75
0a617f9,message-scan,match730_003774267902237081923_1151265719_407.dem,62.4,1,203.12,38.5,0.51,4,0,0,0.1,9.6,0.3,11.3,38.7,120.0,0.0,11,59512,341017,B0C44B073C874908,4.45
0a617f9,game-events,match730_003774267902237081923_1151265719_407.dem,62.4,1,212.47,20.1,0.88,2,1,0,0.1,11.4,0.3,11.6,38.5,125.4,0.0,11,59512,2415,D8BC3146F7EE71C3,4.45
0a617f9,entity-replay,match730_003774267902237081923_1151265719_407.dem,62.4,1,1357.46,308.5,52.32,42,16,4,0.1,48.5,0.3,33.4,38.7,162.0,0.0,64,59512,16,E451A3CD3103A90F,4.45
0a617f9,materialised-replay,match730_003774267902237081923_1151265719_407.dem,62.4,1,1367.04,450.2,92.84,43,18,3,0.1,329.0,0.3,238.3,38.6,299.0,0.0,62,59512,16,E451A3CD3103A90F,4.33
0a617f9,scoreboard-materialised,match730_003774267902237081923_1151265719_407.dem,62.4,1,1854.82,487.3,225.96,49,23,4,0.1,591.2,0.3,380.8,38.7,469.4,0.0,83,59512,120337,C2AEFE4403835EFD,3.98
0a617f9,scoreboard-stream,match730_003774267902237081923_1151265719_407.dem,62.4,1,2360.51,226.5,55.97,29,9,2,0.1,64.0,0.3,39.5,38.6,194.7,0.0,110,59512,59692,C2AEFE4403835EFD,3.67
0a617f9,file-read,match730_003780635290037649646_0665775997_405.dem,146.4,1,225.85,146.4,0.00,0,0,0,0.1,146.5,0.3,0.3,38.7,186.4,0.0,12,0,153477952,DF49432F9A7AF770,4.01
0a617f9,message-scan,match730_003780635290037649646_0665775997_405.dem,146.4,1,342.36,68.9,1.36,8,1,0,0.1,10.0,0.3,10.8,38.5,195.8,0.0,17,71567,826735,9D5F737FF6587608,4.01
0a617f9,game-events,match730_003780635290037649646_0665775997_405.dem,146.4,1,457.81,27.3,1.65,3,1,0,0.1,10.0,0.3,11.1,38.6,209.3,0.0,22,71567,7234,127B9A2B49491040,4.01
0a617f9,entity-replay,match730_003780635290037649646_0665775997_405.dem,146.4,1,1451.66,285.6,31.06,37,4,2,0.1,39.7,0.3,27.2,38.6,239.0,0.0,68,71567,18,8234508E8109C42E,3.77
0a617f9,materialised-replay,match730_003780635290037649646_0665775997_405.dem,146.4,1,1942.39,625.4,109.41,45,14,4,0.1,581.6,0.3,453.0,38.7,507.1,0.0,89,71567,18,8234508E8109C42E,3.55
0a617f9,scoreboard-materialised,match730_003780635290037649646_0665775997_405.dem,146.4,1,2105.85,779.5,267.56,64,29,4,0.1,781.1,0.3,598.5,38.5,689.3,0.0,91,71567,146305,4BA08C8E8EB9676E,3.42
0a617f9,scoreboard-stream,match730_003780635290037649646_0665775997_405.dem,146.4,1,3325.36,322.0,47.93,41,5,2,0.1,56.9,0.3,36.8,38.6,280.5,0.0,154,71567,70286,4BA08C8E8EB9676E,3.42
0a617f9,file-read,match730_003774158895967109270_0748090338_404.dem,203.5,1,279.07,203.5,0.00,0,0,0,0.1,203.6,0.3,0.3,38.8,243.7,0.0,14,0,213334851,74CFC7FCF1A8E02A,3.71
0a617f9,message-scan,match730_003774158895967109270_0748090338_404.dem,203.5,1,482.24,88.0,1.71,10,1,0,0.1,10.5,0.3,10.8,38.5,264.2,0.0,24,91566,1072655,F1421B933D3311E4,3.57
0a617f9,game-events,match730_003774158895967109270_0748090338_404.dem,203.5,1,574.90,34.9,1.62,4,1,0,0.1,10.6,0.3,11.1,38.7,268.0,0.0,28,91566,10047,6C97B0679E979C19,3.57
0a617f9,entity-replay,match730_003774158895967109270_0748090338_404.dem,203.5,1,1816.95,359.2,39.07,46,6,2,0.1,43.5,0.3,28.7,38.6,296.5,0.0,85,91566,23,8250F2AB2D82B7A7,3.37
0a617f9,materialised-replay,match730_003774158895967109270_0748090338_404.dem,203.5,1,2171.70,839.1,133.91,55,17,3,0.1,778.3,0.3,617.7,38.5,668.9,0.0,100,91566,23,8250F2AB2D82B7A7,3.26
0a617f9,scoreboard-materialised,match730_003774158895967109270_0748090338_404.dem,203.5,1,2524.29,1009.3,344.74,77,32,4,0.1,910.2,0.3,787.9,38.6,872.3,0.0,114,91566,188750,57458BBFA438614F,3.00
