variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
alloc,scoreboard-materialised,match730_003774074388190593393_1164257366_406.dem,40.0,1,1480.16,220.1,652.80,45,38,38,0.1,240.7,0.3,166.8,38.8,247.4,0.0,38,35731,72871,1AE75EE5C5EA9B82,6.62
alloc,scoreboard-stream,match730_003774074388190593393_1164257366_406.dem,40.0,1,1013.06,124.6,295.40,42,37,36,0.1,91.4,0.3,58.2,38.6,180.3,0.0,35,35731,1042,1AE75EE5C5EA9B82,6.25
alloc,scoreboard-materialised,match730_003774267902237081923_1151265719_407.dem,62.4,1,2549.37,317.4,1462.91,60,51,51,0.1,358.5,0.3,247.7,38.6,323.4,0.0,51,59512,120337,C2AEFE4403835EFD,5.91
alloc,scoreboard-stream,match730_003774267902237081923_1151265719_407.dem,62.4,1,1521.75,176.9,514.33,55,50,49,0.1,106.3,0.3,70.7,38.8,215.4,0.0,48,59512,1376,C2AEFE4403835EFD,5.59
alloc,scoreboard-materialised,match730_003780635290037649646_0665775997_405.dem,146.4,1,5026.69,557.5,3227.51,92,83,81,0.1,602.7,0.3,460.5,38.6,529.0,0.0,81,71567,146305,4BA08C8E8EB9676E,5.30
alloc,scoreboard-stream,match730_003780635290037649646_0665775997_405.dem,146.4,1,2137.47,214.3,712.62,74,66,66,0.1,106.0,0.3,70.0,38.7,295.1,0.0,65,71567,2581,4BA08C8E8EB9676E,5.12
alloc,scoreboard-materialised,match730_003774158895967109270_0748090338_404.dem,203.5,1,5754.09,739.3,3938.69,95,87,82,0.1,790.9,0.3,624.8,38.8,691.9,0.0,82,91566,188750,57458BBFA438614F,4.87
alloc,scoreboard-stream,match730_003774158895967109270_0748090338_404.dem,203.5,1,2112.24,250.1,772.48,78,64,64,0.1,114.9,0.3,74.7,38.7,361.6,0.0,63,91566,4689,57458BBFA438614F,4.66
alloc,scoreboard-materialised,match730_003774343117851853026_1332064495_118.dem,218.2,1,6080.79,778.8,4250.31,98,85,77,0.1,845.5,0.3,657.1,38.8,725.0,0.0,77,110442,225605,DF158C4AC154E538,4.52
alloc,scoreboard-stream,match730_003774343117851853026_1332064495_118.dem,218.2,1,2144.04,274.8,784.34,80,65,65,0.1,112.6,0.3,74.7,38.7,376.1,0.0,64,110442,4316,DF158C4AC154E538,4.21
alloc,scoreboard-materialised,match730_003776138027634524837_1685184808_389.dem,275.3,1,7533.93,947.1,5634.62,113,97,89,0.1,1014.9,0.3,819.5,38.8,884.0,0.0,89,123467,254011,CB57B38493D40292,4.12
alloc,scoreboard-stream,match730_003776138027634524837_1685184808_389.dem,275.3,1,2375.61,308.9,910.38,91,72,72,0.1,112.4,0.3,75.4,38.7,435.7,0.0,71,123467,5253,CB57B38493D40292,4.03
alloc,scoreboard-materialised,match730_003778819064332288309_2122969707_408.dem,276.2,1,8114.62,957.7,6217.02,117,102,90,0.1,1007.8,0.3,825.6,38.6,888.4,0.0,90,130670,267753,3334374219FCC27A,3.95
alloc,scoreboard-stream,match730_003778819064332288309_2122969707_408.dem,276.2,1,5199.45,331.4,2133.18,144,139,138,0.1,136.6,0.3,81.9,38.6,443.6,0.0,137,130670,5181,3334374219FCC27A,4.11
alloc,scoreboard-materialised,match730_003772273407471648848_0265700985_129.dem,278.5,1,7328.13,971.2,5498.96,109,94,86,0.1,1035.5,0.3,837.6,38.6,897.5,0.0,86,123283,254295,57B05B1C4482AA2B,4.34
alloc,scoreboard-stream,match730_003772273407471648848_0265700985_129.dem,278.5,1,2332.90,306.3,913.22,95,71,70,0.1,111.8,0.3,73.0,38.9,433.2,0.0,69,123283,6685,57B05B1C4482AA2B,4.05
alloc,scoreboard-materialised,match730_003776517348408688739_1163782782_410.dem,280.1,1,7824.76,964.6,5849.33,110,95,87,0.1,993.4,0.3,834.3,38.6,899.0,0.0,87,121233,248117,2B7389B39117B38B,4.29
alloc,scoreboard-stream,match730_003776517348408688739_1163782782_410.dem,280.1,1,2631.93,346.1,1089.81,102,75,75,0.1,127.2,0.3,83.9,38.6,447.0,0.0,74,121233,4430,2B7389B39117B38B,4.59
alloc,scoreboard-materialised,match730_003777343659314249787_1857131197_392.dem,280.8,1,8403.27,980.9,6465.04,117,101,90,0.1,1019.4,0.3,843.0,38.7,902.9,0.0,90,149109,305836,728E758BCFF675DC,4.30
alloc,scoreboard-stream,match730_003777343659314249787_1857131197_392.dem,280.8,1,2554.70,341.8,940.96,94,76,76,0.1,117.9,0.3,82.4,38.7,437.0,0.0,75,149109,5143,728E758BCFF675DC,3.87
alloc,scoreboard-materialised,match730_003774148188613640349_0469622444_125.dem,330.0,1,8343.42,1127.3,6231.32,116,94,86,0.1,1160.4,0.3,981.4,38.7,1032.3,0.0,86,145716,301180,0E55AF9447B23711,3.96
alloc,scoreboard-stream,match730_003774148188613640349_0469622444_125.dem,330.0,1,2569.60,351.0,1001.54,96,76,76,0.1,124.4,0.3,83.1,38.7,489.1,0.0,75,145716,6473,0E55AF9447B23711,4.62
alloc,scoreboard-materialised,match730_003774170838123675757_1031274198_117.dem,350.0,1,8753.62,1192.6,6749.51,121,101,93,0.1,1138.1,0.3,1041.0,38.7,1095.4,0.0,93,162641,333625,3E090A9D156FFA19,4.21
alloc,scoreboard-stream,match730_003774170838123675757_1031274198_117.dem,350.0,1,2876.01,363.8,1130.26,109,84,83,0.1,114.0,0.3,75.4,38.7,509.5,0.0,82,162641,6156,3E090A9D156FFA19,4.17
alloc,scoreboard-materialised,match730_003779845759084527650_0449092279_123.dem,431.5,1,11077.70,1461.7,8936.04,135,111,99,0.1,1357.5,0.3,1290.5,38.7,1324.3,0.0,99,196844,404172,5C8760AB6C12F4E3,3.99
alloc,scoreboard-stream,match730_003779845759084527650_0449092279_123.dem,431.5,1,3102.63,437.5,1269.59,122,88,88,0.1,129.3,0.3,89.0,38.8,592.2,0.0,87,196844,7648,5C8760AB6C12F4E3,3.91
alloc,scoreboard-materialised,match730_003770625492944683328_1992712646_129.dem,492.4,1,13190.30,1641.8,10920.41,155,123,105,0.1,1567.1,0.3,1447.6,38.8,1485.2,0.0,105,223628,457194,6554E87DCD1D6F1B,3.76
alloc,scoreboard-stream,match730_003770625492944683328_1992712646_129.dem,492.4,1,5044.86,522.3,2260.64,163,132,131,0.1,136.8,0.3,90.2,38.6,669.4,0.0,130,223628,8574,6554E87DCD1D6F1B,3.33
alloc,scoreboard-materialised,match730_003774064632172380508_1522348072_129.dem,524.3,1,13905.07,1734.7,11598.00,153,126,113,0.1,1668.7,0.3,1536.8,38.6,1564.7,0.0,113,228902,467809,E5159190B740B70E,3.31
alloc,scoreboard-stream,match730_003774064632172380508_1522348072_129.dem,524.3,1,3737.11,553.2,1678.25,143,100,100,0.1,150.0,0.3,99.7,38.8,703.4,0.0,99,228902,8635,E5159190B740B70E,3.35
