variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
alloc,scoreboard-materialised,match730_003774074388190593393_1164257366_406.dem,40.0,1,891.11,221.0,75.54,18,10,3,0.1,271.1,0.3,202.3,38.7,286.1,0.0,41,35731,72871,1AE75EE5C5EA9B82,2.72
alloc,scoreboard-stream,match730_003774074388190593393_1164257366_406.dem,40.0,1,752.06,124.0,55.76,14,6,3,0.1,143.9,0.3,83.3,38.7,212.2,0.0,36,35731,1042,1AE75EE5C5EA9B82,2.66
alloc,scoreboard-materialised,match730_003774267902237081923_1151265719_407.dem,62.4,1,1268.91,315.2,110.51,24,12,3,0.1,406.1,0.3,279.5,38.8,362.7,0.0,58,59512,120337,C2AEFE4403835EFD,2.61
alloc,scoreboard-stream,match730_003774267902237081923_1151265719_407.dem,62.4,1,1199.37,177.2,120.46,24,13,5,0.1,170.1,0.3,105.2,38.8,251.0,0.0,55,59512,1376,C2AEFE4403835EFD,2.61
alloc,scoreboard-materialised,match730_003780635290037649646_0665775997_405.dem,146.4,1,1994.45,550.8,148.08,33,16,4,0.1,646.6,0.3,492.5,38.7,576.2,0.0,89,71567,146305,4BA08C8E8EB9676E,3.44
alloc,scoreboard-stream,match730_003780635290037649646_0665775997_405.dem,146.4,1,1580.94,213.6,124.28,29,15,5,0.1,193.0,0.3,119.8,38.6,353.7,0.0,72,71567,2581,4BA08C8E8EB9676E,4.28
alloc,scoreboard-materialised,match730_003774158895967109270_0748090338_404.dem,203.5,1,2166.38,739.4,185.46,40,20,4,0.1,906.0,0.3,679.2,38.8,756.0,0.0,97,91566,188750,57458BBFA438614F,5.06
alloc,scoreboard-stream,match730_003774158895967109270_0748090338_404.dem,203.5,1,1837.17,248.7,156.63,34,18,6,0.1,185.5,0.3,109.8,38.8,397.2,0.0,83,91566,4689,57458BBFA438614F,5.54
alloc,scoreboard-materialised,match730_003774343117851853026_1332064495_118.dem,218.2,1,2382.54,779.9,209.57,44,24,5,0.1,934.0,0.3,708.0,38.5,799.6,0.0,106,110442,225605,DF158C4AC154E538,5.65
alloc,scoreboard-stream,match730_003774343117851853026_1332064495_118.dem,218.2,1,1576.24,272.3,154.95,37,19,6,0.1,198.2,0.3,130.1,38.7,430.5,0.0,71,110442,4316,DF158C4AC154E538,5.44
alloc,scoreboard-materialised,match730_003776138027634524837_1685184808_389.dem,275.3,1,2529.61,943.5,237.50,49,27,4,0.1,1039.1,0.3,870.9,38.6,954.1,0.0,113,123467,254011,CB57B38493D40292,5.25
alloc,scoreboard-stream,match730_003776138027634524837_1685184808_389.dem,275.3,1,1862.97,307.8,176.89,42,21,6,0.1,189.0,0.3,115.4,38.7,475.9,0.0,84,123467,5253,CB57B38493D40292,5.71
alloc,scoreboard-materialised,match730_003778819064332288309_2122969707_408.dem,276.2,1,2681.13,947.0,253.30,51,27,4,0.1,1017.9,0.3,868.5,38.8,961.0,0.0,118,130670,267753,3334374219FCC27A,5.89
alloc,scoreboard-stream,match730_003778819064332288309_2122969707_408.dem,276.2,1,3277.10,325.8,202.51,46,24,8,0.1,241.5,0.3,152.0,38.8,517.3,0.0,146,130670,5181,3334374219FCC27A,6.47
alloc,scoreboard-materialised,match730_003772273407471648848_0265700985_129.dem,278.5,1,2719.02,967.4,251.82,50,27,4,0.1,1055.1,0.3,892.1,38.7,970.9,0.0,121,123283,254295,57B05B1C4482AA2B,6.11
alloc,scoreboard-stream,match730_003772273407471648848_0265700985_129.dem,278.5,1,2923.96,312.8,201.64,43,23,7,0.1,241.8,0.3,141.9,38.8,510.8,0.0,130,123283,6685,57B05B1C4482AA2B,5.70
alloc,scoreboard-materialised,match730_003776517348408688739_1163782782_410.dem,280.1,1,2522.19,959.0,236.04,51,27,4,0.1,1028.0,0.3,884.5,38.7,974.6,0.0,113,121233,248117,2B7389B39117B38B,5.81
alloc,scoreboard-stream,match730_003776517348408688739_1163782782_410.dem,280.1,1,1935.10,352.8,233.20,46,24,6,0.1,239.0,0.3,161.3,38.8,523.2,0.0,86,121233,4430,2B7389B39117B38B,6.06
alloc,scoreboard-materialised,match730_003777343659314249787_1857131197_392.dem,280.8,1,2644.46,971.8,258.15,52,27,4,0.1,981.2,0.3,894.2,38.8,984.8,0.0,116,149109,305836,728E758BCFF675DC,6.54
alloc,scoreboard-stream,match730_003777343659314249787_1857131197_392.dem,280.8,1,2345.46,328.8,243.84,47,26,8,0.1,196.2,0.3,122.2,38.9,489.3,0.0,105,149109,5143,728E758BCFF675DC,6.25
alloc,scoreboard-materialised,match730_003774148188613640349_0469622444_125.dem,330.0,1,2710.25,1118.6,275.66,56,28,4,0.1,1126.1,0.3,1039.1,38.7,1122.0,0.0,118,145716,301180,0E55AF9447B23711,6.39
alloc,scoreboard-stream,match730_003774148188613640349_0469622444_125.dem,330.0,1,3380.21,344.0,226.82,48,26,8,0.1,214.8,0.3,119.7,38.7,542.7,0.0,153,145716,6473,0E55AF9447B23711,5.64
alloc,scoreboard-materialised,match730_003774170838123675757_1031274198_117.dem,350.0,1,2727.66,1181.5,293.35,57,28,3,0.1,1205.7,0.3,1099.8,38.7,1192.6,0.0,122,162641,333625,3E090A9D156FFA19,5.43
alloc,scoreboard-stream,match730_003774170838123675757_1031274198_117.dem,350.0,1,3462.53,374.5,264.06,51,26,8,0.1,229.3,0.3,146.9,38.7,572.2,0.0,153,162641,6156,3E090A9D156FFA19,5.07
alloc,scoreboard-materialised,match730_003779845759084527650_0449092279_123.dem,431.5,1,2995.30,1435.8,363.40,69,36,4,0.1,1536.4,0.3,1380.7,38.6,1432.1,0.0,131,196844,404172,5C8760AB6C12F4E3,5.79
alloc,scoreboard-stream,match730_003779845759084527650_0449092279_123.dem,431.5,1,2324.81,439.4,281.78,58,30,7,0.1,203.2,0.3,133.0,38.7,637.1,0.0,104,196844,7648,5C8760AB6C12F4E3,6.84
alloc,scoreboard-materialised,match730_003770625492944683328_1992712646_129.dem,492.4,1,3254.24,1622.5,396.55,78,40,3,0.1,1716.7,0.3,1541.4,38.7,1625.4,0.0,143,223628,457194,6554E87DCD1D6F1B,6.54
alloc,scoreboard-stream,match730_003770625492944683328_1992712646_129.dem,492.4,1,3693.74,530.3,392.05,71,37,8,0.1,278.0,0.3,162.1,38.7,736.6,0.0,165,223628,8574,6554E87DCD1D6F1B,6.25
alloc,scoreboard-materialised,match730_003774064632172380508_1522348072_129.dem,524.3,1,3327.40,1706.4,423.26,81,43,4,0.1,1790.9,0.3,1611.9,38.7,1695.0,0.0,148,228902,467809,E5159190B740B70E,6.71
alloc,scoreboard-stream,match730_003774064632172380508_1522348072_129.dem,524.3,1,4003.76,550.8,417.95,75,40,10,0.1,262.0,0.3,156.4,38.7,763.3,0.0,177,228902,8635,E5159190B740B70E,7.02
