variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
decode-loops,parse,match730_003774074388190593393_1164257366_406.dem,40.0,1,328.79,137.1,103.53,15,11,11,0.1,165.9,0.3,131.4,38.7,185.8,0.0,11,35731,72845,75C9A55548003AF2,3.06
decode-loops,materialise,match730_003774074388190593393_1164257366_406.dem,40.0,1,339.87,104.3,110.44,16,12,12,0.1,138.7,0.3,97.2,38.8,192.4,0.0,11,35731,72845,75C9A55548003AF2,3.21
decode-loops,parse,match730_003774158895967109270_0748090338_404.dem,203.5,1,1273.68,603.5,653.91,36,30,27,0.1,715.4,0.3,587.3,38.7,621.8,0.0,27,91566,188695,3EBAE4C294946B28,3.21
decode-loops,materialise,match730_003774158895967109270_0748090338_404.dem,203.5,1,1163.04,363.5,614.96,39,30,26,0.1,491.5,0.3,348.6,38.8,603.3,0.0,25,91566,188695,3EBAE4C294946B28,3.12
decode-loops,parse,match730_003776517348408688739_1163782782_410.dem,280.1,1,1676.53,797.8,1027.38,52,38,30,0.1,949.8,0.3,776.0,38.8,813.7,0.0,30,121233,248011,D984235DD5F7FFAF,2.95
decode-loops,materialise,match730_003776517348408688739_1163782782_410.dem,280.1,1,1732.13,471.8,1030.30,51,39,33,0.1,662.2,0.3,454.3,38.7,785.3,0.0,32,121233,248011,D984235DD5F7FFAF,2.95
decode-loops,parse,match730_003779845759084527650_0449092279_123.dem,431.5,1,2905.04,1282.0,2080.01,68,54,44,0.1,1296.0,0.3,1248.1,38.7,1243.1,0.0,44,196844,404044,9EBC6DE1E1F0CCD4,2.79
decode-loops,materialise,match730_003779845759084527650_0449092279_123.dem,431.5,1,2374.38,744.2,1607.97,71,50,35,0.1,771.2,0.3,715.8,38.7,1189.9,0.0,34,196844,404044,9EBC6DE1E1F0CCD4,2.65
decode-loops,parse,match730_003774064632172380508_1522348072_129.dem,524.3,1,3092.42,1493.8,2341.15,83,54,38,0.1,1548.6,0.3,1456.1,38.8,1468.2,0.0,38,228902,467632,E137826A952C8F24,2.60
decode-loops,materialise,match730_003774064632172380508_1522348072_129.dem,524.3,1,3030.55,867.1,2153.95,87,57,41,0.1,951.5,0.3,833.0,38.9,1400.1,0.0,40,228902,467632,E137826A952C8F24,2.63
