variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
decode-loops,parse,match730_003774074388190593393_1164257366_406.dem,40.0,1,263.40,134.0,27.33,8,5,2,0.1,177.4,0.3,133.1,38.8,194.2,0.0,12,35731,72845,75C9A55548003AF2,2.91
decode-loops,materialise,match730_003774074388190593393_1164257366_406.dem,40.0,1,260.54,102.2,24.34,8,5,2,0.1,144.6,0.3,99.4,38.7,200.2,0.0,13,35731,72845,75C9A55548003AF2,2.84
decode-loops,parse,match730_003774158895967109270_0748090338_404.dem,203.5,1,755.34,597.2,78.37,25,14,4,0.1,752.1,0.3,602.5,38.7,650.7,0.0,35,91566,188695,3EBAE4C294946B28,2.85
decode-loops,materialise,match730_003774158895967109270_0748090338_404.dem,203.5,1,748.91,365.4,79.64,25,14,4,0.1,519.8,0.3,370.3,38.6,627.8,0.0,33,91566,188695,3EBAE4C294946B28,2.85
decode-loops,parse,match730_003776517348408688739_1163782782_410.dem,280.1,1,913.38,795.1,122.59,35,20,4,0.1,1017.1,0.3,808.2,38.8,851.3,0.0,41,121233,248011,D984235DD5F7FFAF,3.82
decode-loops,materialise,match730_003776517348408688739_1163782782_410.dem,280.1,1,763.71,472.7,105.97,34,19,4,0.1,696.7,0.3,477.4,38.9,814.9,0.0,34,121233,248011,D984235DD5F7FFAF,3.68
decode-loops,parse,match730_003779845759084527650_0449092279_123.dem,431.5,1,1168.19,1242.5,200.74,50,27,4,0.1,1304.8,0.3,1237.2,38.7,1281.8,0.0,51,196844,404044,9EBC6DE1E1F0CCD4,3.54
decode-loops,materialise,match730_003779845759084527650_0449092279_123.dem,431.5,1,1084.78,744.4,204.72,50,27,4,0.1,807.9,0.3,749.8,38.7,1224.5,0.0,47,196844,404044,9EBC6DE1E1F0CCD4,3.34
decode-loops,parse,match730_003774064632172380508_1522348072_129.dem,524.3,1,1316.03,1480.8,231.78,58,31,3,0.1,1615.8,0.3,1485.7,38.8,1525.7,0.0,60,228902,467632,E137826A952C8F24,3.34
decode-loops,materialise,match730_003774064632172380508_1522348072_129.dem,524.3,1,1222.36,868.4,213.43,59,32,4,0.1,1006.8,0.3,876.2,38.8,1444.0,0.0,54,228902,467632,E137826A952C8F24,4.19
decode-loops,parse,match730_003774074388190593393_1164257366_406.dem,40.0,2,250.09,137.1,25.38,8,5,2,0.1,180.7,0.3,136.1,38.8,194.8,0.0,12,35731,72845,75C9A55548003AF2,4.90
decode-loops,materialise,match730_003774074388190593393_1164257366_406.dem,40.0,2,257.04,102.3,25.43,8,5,2,0.1,144.8,0.3,99.7,38.7,198.4,0.0,13,35731,72845,75C9A55548003AF2,4.66
decode-loops,parse,match730_003774158895967109270_0748090338_404.dem,203.5,2,682.59,594.2,78.09,25,14,4,0.1,748.7,0.3,599.0,38.8,649.9,0.0,30,91566,188695,3EBAE4C294946B28,4.66
decode-loops,materialise,match730_003774158895967109270_0748090338_404.dem,203.5,2,740.04,362.6,80.29,25,14,4,0.1,517.0,0.3,367.3,38.9,627.2,0.0,34,91566,188695,3EBAE4C294946B28,4.61
decode-loops,parse,match730_003776517348408688739_1163782782_410.dem,280.1,2,797.51,790.8,122.84,35,20,4,0.1,1013.8,0.3,804.8,38.8,854.3,0.0,37,121233,248011,D984235DD5F7FFAF,4.32
decode-loops,materialise,match730_003776517348408688739_1163782782_410.dem,280.1,2,853.67,472.6,106.29,34,19,4,0.1,697.0,0.3,477.4,38.8,819.0,0.0,40,121233,248011,D984235DD5F7FFAF,4.14
decode-loops,parse,match730_003779845759084527650_0449092279_123.dem,431.5,2,1109.07,1239.1,206.91,49,28,3,0.1,1304.3,0.3,1245.7,38.9,1290.0,0.0,48,196844,404044,9EBC6DE1E1F0CCD4,3.88
decode-loops,materialise,match730_003779845759084527650_0449092279_123.dem,431.5,2,1100.60,745.2,194.60,50,27,4,0.1,812.1,0.3,747.2,38.9,1225.8,0.0,50,196844,404044,9EBC6DE1E1F0CCD4,3.88
decode-loops,parse,match730_003774064632172380508_1522348072_129.dem,524.3,2,1201.15,1477.1,233.09,58,30,3,0.1,1601.7,0.3,1474.6,38.7,1517.5,0.0,53,228902,467632,E137826A952C8F24,4.77
decode-loops,materialise,match730_003774064632172380508_1522348072_129.dem,524.3,2,1217.23,869.0,220.05,59,32,4,0.1,1009.8,0.3,876.8,38.7,1441.8,0.0,55,228902,467632,E137826A952C8F24,4.63
decode-loops,parse,match730_003774074388190593393_1164257366_406.dem,40.0,3,252.01,136.1,23.11,8,5,2,0.1,179.2,0.3,134.9,38.7,194.4,0.0,12,35731,72845,75C9A55548003AF2,4.42
decode-loops,materialise,match730_003774074388190593393_1164257366_406.dem,40.0,3,262.06,102.3,24.47,8,5,2,0.1,144.7,0.3,99.4,38.6,199.7,0.0,13,35731,72845,75C9A55548003AF2,4.23
decode-loops,parse,match730_003774158895967109270_0748090338_404.dem,203.5,3,740.19,591.0,78.14,25,14,4,0.1,745.7,0.3,596.0,38.7,649.1,0.0,33,91566,188695,3EBAE4C294946B28,4.23
decode-loops,materialise,match730_003774158895967109270_0748090338_404.dem,203.5,3,682.51,363.2,79.82,25,14,4,0.1,517.7,0.3,368.1,38.7,629.1,0.0,32,91566,188695,3EBAE4C294946B28,3.97
decode-loops,parse,match730_003776517348408688739_1163782782_410.dem,280.1,3,812.15,793.3,125.60,35,21,4,0.1,1008.0,0.3,798.8,38.7,846.1,0.0,36,121233,248011,D984235DD5F7FFAF,3.73
decode-loops,materialise,match730_003776517348408688739_1163782782_410.dem,280.1,3,863.20,472.7,106.75,34,19,4,0.1,696.7,0.3,476.9,38.8,816.0,0.0,40,121233,248011,D984235DD5F7FFAF,3.67
decode-loops,parse,match730_003779845759084527650_0449092279_123.dem,431.5,3,1157.28,1249.9,216.88,50,28,4,0.1,1314.9,0.3,1256.0,38.7,1286.1,0.0,51,196844,404044,9EBC6DE1E1F0CCD4,3.67
decode-loops,materialise,match730_003779845759084527650_0449092279_123.dem,431.5,3,1066.96,745.3,194.43,50,28,4,0.1,809.4,0.3,752.3,38.8,1229.4,0.0,47,196844,404044,9EBC6DE1E1F0CCD4,3.62
decode-loops,parse,match730_003774064632172380508_1522348072_129.dem,524.3,3,1206.88,1481.5,225.67,58,31,3,0.1,1611.7,0.3,1483.2,38.8,1508.8,0.0,54,228902,467632,E137826A952C8F24,3.49
decode-loops,materialise,match730_003774064632172380508_1522348072_129.dem,524.3,3,1289.49,867.2,217.91,60,33,5,0.1,1006.7,0.3,874.7,38.8,1449.7,0.0,58,228902,467632,E137826A952C8F24,3.45
