variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
gc-batch-gen0,scoreboard-stream,match730_003774074388190593393_1164257366_406.dem,40.0,1,755.10,107.0,22.61,3,2,2,0.1,80.2,0.3,83.4,38.7,203.1,0.0,35,35731,1042,1AE75EE5C5EA9B82,6.26
gc-batch-gen0,scoreboard-stream,match730_003774267902237081923_1151265719_407.dem,62.4,1,1146.43,157.7,24.23,3,2,2,0.1,123.0,0.3,84.0,38.8,244.6,0.0,53,59512,1376,C2AEFE4403835EFD,5.92
gc-batch-gen0,scoreboard-stream,match730_003780635290037649646_0665775997_405.dem,146.4,1,1674.04,194.6,53.19,4,3,2,0.1,124.9,0.3,104.6,38.7,332.0,0.0,77,71567,2581,4BA08C8E8EB9676E,5.60
gc-batch-gen0,scoreboard-stream,match730_003774158895967109270_0748090338_404.dem,203.5,1,2197.83,227.2,71.06,5,3,2,0.1,144.9,0.3,115.2,38.8,400.7,0.0,98,91566,4689,57458BBFA438614F,5.31
gc-batch-gen0,scoreboard-stream,match730_003774343117851853026_1332064495_118.dem,218.2,1,1713.39,251.5,68.27,5,3,2,0.1,143.0,0.3,114.5,38.8,415.8,0.0,76,110442,4316,DF158C4AC154E538,4.97
gc-batch-gen0,scoreboard-stream,match730_003776138027634524837_1685184808_389.dem,275.3,1,2002.08,287.9,81.84,6,4,3,0.1,150.2,0.3,115.6,38.7,474.5,0.0,91,123467,5253,CB57B38493D40292,5.13
gc-batch-gen0,scoreboard-stream,match730_003778819064332288309_2122969707_408.dem,276.2,1,3378.78,312.6,86.51,6,4,3,0.1,148.4,0.3,109.8,38.6,471.6,0.0,150,130670,5181,3334374219FCC27A,4.80
gc-batch-gen0,scoreboard-stream,match730_003772273407471648848_0265700985_129.dem,278.5,1,2346.92,284.7,93.32,6,4,3,0.1,184.3,0.3,114.6,38.7,496.1,0.0,106,123283,6685,57B05B1C4482AA2B,5.70
gc-batch-gen0,scoreboard-stream,match730_003776517348408688739_1163782782_410.dem,280.1,1,3073.07,329.8,118.06,7,5,3,0.1,196.2,0.3,145.3,38.8,507.6,0.0,139,121233,4430,2B7389B39117B38B,6.44
gc-batch-gen0,scoreboard-stream,match730_003777343659314249787_1857131197_392.dem,280.8,1,1972.57,320.4,82.68,6,4,3,0.1,144.6,0.3,113.8,38.8,475.8,0.0,90,149109,5143,728E758BCFF675DC,7.77
gc-batch-gen0,scoreboard-stream,match730_003774148188613640349_0469622444_125.dem,330.0,1,2144.45,319.6,78.44,6,4,3,0.1,148.8,0.3,115.2,38.6,529.3,0.0,96,145716,6473,0E55AF9447B23711,6.95
gc-batch-gen0,scoreboard-stream,match730_003774170838123675757_1031274198_117.dem,350.0,1,3078.33,344.2,95.57,6,4,3,0.1,170.9,0.3,128.8,38.7,563.6,0.0,137,162641,6156,3E090A9D156FFA19,6.88
gc-batch-gen0,scoreboard-stream,match730_003779845759084527650_0449092279_123.dem,431.5,1,2547.77,405.1,108.33,8,5,3,0.1,150.7,0.3,114.9,38.7,626.7,0.0,115,196844,7648,5C8760AB6C12F4E3,6.49
gc-batch-gen0,scoreboard-stream,match730_003770625492944683328_1992712646_129.dem,492.4,1,4025.82,496.6,127.78,9,5,3,0.1,185.6,0.3,125.3,38.7,693.7,0.0,179,223628,8574,6554E87DCD1D6F1B,6.21
gc-batch-gen0,scoreboard-stream,match730_003774064632172380508_1522348072_129.dem,524.3,1,2960.34,514.9,129.83,9,6,3,0.1,167.6,0.3,122.1,38.7,730.8,0.0,134,228902,8635,E5159190B740B70E,6.27
