variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
gc-batch,scoreboard-stream,match730_003774074388190593393_1164257366_406.dem,40.0,1,753.40,107.2,52.86,12,5,3,0.1,107.3,0.3,64.6,38.7,190.9,0.0,36,35731,1042,1AE75EE5C5EA9B82,10.22
gc-batch,scoreboard-stream,match730_003774267902237081923_1151265719_407.dem,62.4,1,1175.79,158.1,99.12,18,9,4,0.1,135.7,0.3,80.0,38.7,222.0,0.0,55,59512,1376,C2AEFE4403835EFD,10.22
gc-batch,scoreboard-stream,match730_003780635290037649646_0665775997_405.dem,146.4,1,1600.05,196.1,119.57,23,10,5,0.1,131.9,0.3,76.1,38.7,312.2,0.0,72,71567,2581,4BA08C8E8EB9676E,9.64
gc-batch,scoreboard-stream,match730_003774158895967109270_0748090338_404.dem,203.5,1,1874.46,226.2,173.30,27,12,6,0.1,141.0,0.3,82.2,38.8,359.7,0.0,84,91566,4689,57458BBFA438614F,9.03
gc-batch,scoreboard-stream,match730_003774343117851853026_1332064495_118.dem,218.2,1,1577.47,250.8,161.13,30,13,5,0.1,131.3,0.3,83.6,38.7,379.7,0.0,70,110442,4316,DF158C4AC154E538,9.19
gc-batch,scoreboard-stream,match730_003776138027634524837_1685184808_389.dem,275.3,1,2018.74,287.1,184.51,35,15,6,0.1,139.0,0.3,80.4,38.7,425.7,0.0,91,123467,5253,CB57B38493D40292,9.41
gc-batch,scoreboard-stream,match730_003778819064332288309_2122969707_408.dem,276.2,1,3386.04,310.1,227.14,37,17,7,0.1,164.4,0.3,93.9,38.6,451.7,0.0,151,130670,5181,3334374219FCC27A,8.98
gc-batch,scoreboard-stream,match730_003772273407471648848_0265700985_129.dem,278.5,1,2116.52,284.4,214.37,35,17,7,0.1,147.8,0.3,83.6,38.8,427.4,0.0,97,123283,6685,57B05B1C4482AA2B,10.10
gc-batch,scoreboard-stream,match730_003776517348408688739_1163782782_410.dem,280.1,1,3528.62,334.5,262.49,39,20,8,0.1,178.5,0.3,108.0,38.7,454.8,0.0,154,121233,4430,2B7389B39117B38B,8.92
gc-batch,scoreboard-stream,match730_003777343659314249787_1857131197_392.dem,280.8,1,2649.64,311.0,240.61,38,18,8,0.1,136.9,0.3,81.3,38.8,446.0,0.0,119,149109,5143,728E758BCFF675DC,8.37
gc-batch,scoreboard-stream,match730_003774148188613640349_0469622444_125.dem,330.0,1,2296.09,328.3,198.91,39,18,6,0.1,133.2,0.3,78.5,38.5,476.1,0.0,102,145716,6473,0E55AF9447B23711,7.86
gc-batch,scoreboard-stream,match730_003774170838123675757_1031274198_117.dem,350.0,1,3414.06,343.9,278.33,42,20,8,0.1,156.6,0.3,92.5,38.8,514.8,0.0,150,162641,6156,3E090A9D156FFA19,7.39
gc-batch,scoreboard-stream,match730_003779845759084527650_0449092279_123.dem,431.5,1,2608.24,401.4,250.08,50,24,7,0.1,131.7,0.3,77.8,38.7,574.3,0.0,117,196844,7648,5C8760AB6C12F4E3,7.28
gc-batch,scoreboard-stream,match730_003770625492944683328_1992712646_129.dem,492.4,1,4427.13,512.9,362.02,62,29,10,0.1,191.5,0.3,114.4,38.6,648.9,0.0,196,223628,8574,6554E87DCD1D6F1B,6.75
gc-batch,scoreboard-stream,match730_003774064632172380508_1522348072_129.dem,524.3,1,3292.99,524.5,314.92,63,30,8,0.1,163.1,0.3,105.8,38.6,687.6,0.0,146,228902,8635,E5159190B740B70E,6.45
