variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
gc-default,scoreboard-stream,match730_003774074388190593393_1164257366_406.dem,40.0,1,776.40,125.1,61.68,16,8,4,0.1,143.2,0.3,86.6,38.8,211.7,0.0,36,35731,1042,1AE75EE5C5EA9B82,3.33
gc-default,scoreboard-stream,match730_003774267902237081923_1151265719_407.dem,62.4,1,1219.12,177.9,112.45,24,13,5,0.1,171.6,0.3,106.9,38.6,252.8,0.0,56,59512,1376,C2AEFE4403835EFD,3.30
gc-default,scoreboard-stream,match730_003780635290037649646_0665775997_405.dem,146.4,1,1588.88,214.0,123.24,30,16,6,0.1,189.9,0.3,118.3,38.6,348.4,0.0,72,71567,2581,4BA08C8E8EB9676E,3.19
gc-default,scoreboard-stream,match730_003774158895967109270_0748090338_404.dem,203.5,1,2479.67,250.1,155.33,34,18,6,0.1,184.5,0.3,110.7,38.6,398.9,0.0,111,91566,4689,57458BBFA438614F,3.19
gc-default,scoreboard-stream,match730_003774343117851853026_1332064495_118.dem,218.2,1,1592.06,274.1,211.04,38,20,6,0.1,194.1,0.3,127.2,38.6,427.6,0.0,72,110442,4316,DF158C4AC154E538,3.01
gc-default,scoreboard-stream,match730_003776138027634524837_1685184808_389.dem,275.3,1,1769.75,307.6,195.77,43,23,7,0.1,235.4,0.3,134.0,38.7,494.7,0.0,81,123467,5253,CB57B38493D40292,2.85
gc-default,scoreboard-stream,match730_003778819064332288309_2122969707_408.dem,276.2,1,3237.53,336.7,206.89,45,23,7,0.1,252.6,0.3,171.6,38.7,520.3,0.0,142,130670,5181,3334374219FCC27A,2.78
gc-default,scoreboard-stream,match730_003772273407471648848_0265700985_129.dem,278.5,1,1813.50,304.5,204.50,43,23,7,0.1,209.7,0.3,126.4,38.8,492.1,0.0,82,123283,6685,57B05B1C4482AA2B,2.72
gc-default,scoreboard-stream,match730_003776517348408688739_1163782782_410.dem,280.1,1,2287.54,355.7,189.77,46,24,6,0.1,234.9,0.3,149.7,38.8,507.8,0.0,100,121233,4430,2B7389B39117B38B,2.58
gc-default,scoreboard-stream,match730_003777343659314249787_1857131197_392.dem,280.8,1,2341.88,340.0,231.88,46,24,7,0.1,194.2,0.3,125.1,38.7,481.4,0.0,106,149109,5143,728E758BCFF675DC,2.45
gc-default,scoreboard-stream,match730_003774148188613640349_0469622444_125.dem,330.0,1,1965.17,343.6,235.63,47,24,7,0.1,197.0,0.3,126.8,38.5,534.8,0.0,89,145716,6473,0E55AF9447B23711,2.42
gc-default,scoreboard-stream,match730_003774170838123675757_1031274198_117.dem,350.0,1,3068.42,365.4,281.34,50,26,7,0.1,193.6,0.3,114.3,38.8,549.6,0.0,137,162641,6156,3E090A9D156FFA19,2.38
gc-default,scoreboard-stream,match730_003779845759084527650_0449092279_123.dem,431.5,1,3203.82,430.5,313.24,60,32,9,0.1,273.8,0.3,174.5,38.9,683.7,0.0,140,196844,7648,5C8760AB6C12F4E3,3.23
gc-default,scoreboard-stream,match730_003770625492944683328_1992712646_129.dem,492.4,1,4031.68,537.0,369.91,72,37,9,0.1,376.6,0.3,217.4,38.7,788.2,0.0,180,223628,8574,6554E87DCD1D6F1B,4.09
gc-default,scoreboard-stream,match730_003774064632172380508_1522348072_129.dem,524.3,1,3783.45,563.5,372.02,74,39,9,0.1,342.9,0.3,209.8,38.8,808.6,0.0,168,228902,8635,E5159190B740B70E,3.91
