variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
gc-gen0-64m,scoreboard-stream,match730_003774074388190593393_1164257366_406.dem,40.0,1,703.44,124.2,28.72,3,2,2,0.1,113.1,0.3,82.4,38.5,202.4,0.0,33,35731,1042,1AE75EE5C5EA9B82,4.65
gc-gen0-64m,scoreboard-stream,match730_003774267902237081923_1151265719_407.dem,62.4,1,1133.58,176.5,51.01,4,3,2,0.1,177.4,0.3,133.3,38.8,275.8,0.0,51,59512,1376,C2AEFE4403835EFD,4.84
gc-gen0-64m,scoreboard-stream,match730_003780635290037649646_0665775997_405.dem,146.4,1,1575.99,211.7,58.44,4,3,2,0.1,184.0,0.3,139.4,38.8,367.2,0.0,71,71567,2581,4BA08C8E8EB9676E,4.61
gc-gen0-64m,scoreboard-stream,match730_003774158895967109270_0748090338_404.dem,203.5,1,1717.10,247.1,75.81,5,3,2,0.1,187.0,0.3,137.8,38.6,422.6,0.0,77,91566,4689,57458BBFA438614F,4.40
gc-gen0-64m,scoreboard-stream,match730_003774343117851853026_1332064495_118.dem,218.2,1,2104.40,274.4,75.15,5,3,2,0.1,229.1,0.3,143.6,38.8,453.2,0.0,92,110442,4316,DF158C4AC154E538,4.13
gc-gen0-64m,scoreboard-stream,match730_003776138027634524837_1685184808_389.dem,275.3,1,1816.84,307.4,106.74,7,5,3,0.1,214.0,0.3,147.0,38.6,501.9,0.0,80,123467,5253,CB57B38493D40292,3.88
gc-gen0-64m,scoreboard-stream,match730_003778819064332288309_2122969707_408.dem,276.2,1,3074.89,330.1,101.17,7,5,3,0.1,215.3,0.3,152.9,38.7,513.5,0.0,138,130670,5181,3334374219FCC27A,3.73
gc-gen0-64m,scoreboard-stream,match730_003772273407471648848_0265700985_129.dem,278.5,1,2023.07,310.4,107.23,7,5,3,0.1,216.4,0.3,146.5,38.6,506.9,0.0,90,123283,6685,57B05B1C4482AA2B,3.75
gc-gen0-64m,scoreboard-stream,match730_003776517348408688739_1163782782_410.dem,280.1,1,1843.61,345.9,97.37,7,5,3,0.1,197.7,0.3,148.3,38.8,513.6,0.0,82,121233,4430,2B7389B39117B38B,4.97
gc-gen0-64m,scoreboard-stream,match730_003777343659314249787_1857131197_392.dem,280.8,1,2276.08,328.0,109.47,7,5,3,0.1,203.9,0.3,138.2,38.6,504.3,0.0,100,149109,5143,728E758BCFF675DC,4.81
gc-gen0-64m,scoreboard-stream,match730_003774148188613640349_0469622444_125.dem,330.0,1,1735.31,342.2,99.86,7,5,3,0.1,206.6,0.3,141.3,38.7,550.1,0.0,77,145716,6473,0E55AF9447B23711,5.55
gc-gen0-64m,scoreboard-stream,match730_003774170838123675757_1031274198_117.dem,350.0,1,1719.09,362.9,113.29,8,5,3,0.1,212.9,0.3,143.2,38.7,570.1,0.0,77,162641,6156,3E090A9D156FFA19,5.50
gc-gen0-64m,scoreboard-stream,match730_003779845759084527650_0449092279_123.dem,431.5,1,2319.42,423.0,134.26,9,6,3,0.1,225.3,0.3,140.8,38.6,657.0,0.0,103,196844,7648,5C8760AB6C12F4E3,5.22
gc-gen0-64m,scoreboard-stream,match730_003770625492944683328_1992712646_129.dem,492.4,1,2811.64,520.6,151.72,10,6,3,0.1,231.1,0.3,153.7,38.8,726.2,0.0,124,223628,8574,6554E87DCD1D6F1B,5.36
gc-gen0-64m,scoreboard-stream,match730_003774064632172380508_1522348072_129.dem,524.3,1,2336.32,555.3,173.92,11,8,3,0.1,228.1,0.3,174.4,38.6,769.1,0.0,102,228902,8635,E5159190B740B70E,5.58
