variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
gc-nonconc-gen0,scoreboard-stream,match730_003774074388190593393_1164257366_406.dem,40.0,1,718.21,124.5,29.28,3,2,2,0.1,113.2,0.3,83.4,38.5,203.1,0.0,34,35731,1042,1AE75EE5C5EA9B82,6.17
gc-nonconc-gen0,scoreboard-stream,match730_003774267902237081923_1151265719_407.dem,62.4,1,1087.05,177.4,18.25,3,2,2,0.1,201.7,0.3,84.3,38.6,309.8,0.0,51,59512,1376,C2AEFE4403835EFD,5.92
gc-nonconc-gen0,scoreboard-stream,match730_003780635290037649646_0665775997_405.dem,146.4,1,1518.77,212.1,17.89,3,2,2,0.1,240.1,0.3,83.4,38.5,430.4,0.0,70,71567,2581,4BA08C8E8EB9676E,5.68
gc-nonconc-gen0,scoreboard-stream,match730_003774158895967109270_0748090338_404.dem,203.5,1,1681.04,247.3,64.73,4,3,2,0.1,247.4,0.3,211.6,38.8,498.0,0.0,75,91566,4689,57458BBFA438614F,5.39
gc-nonconc-gen0,scoreboard-stream,match730_003774343117851853026_1332064495_118.dem,218.2,1,1415.05,272.6,62.70,4,3,2,0.1,245.0,0.3,211.8,38.6,513.5,0.0,64,110442,4316,DF158C4AC154E538,5.04
gc-nonconc-gen0,scoreboard-stream,match730_003776138027634524837_1685184808_389.dem,275.3,1,1633.54,308.4,55.82,4,3,2,0.1,250.7,0.3,212.0,38.8,570.8,0.0,74,123467,5253,CB57B38493D40292,4.71
gc-nonconc-gen0,scoreboard-stream,match730_003778819064332288309_2122969707_408.dem,276.2,1,2937.69,328.0,59.58,4,3,2,0.1,254.5,0.3,212.9,38.8,572.8,0.0,134,130670,5181,3334374219FCC27A,4.50
gc-nonconc-gen0,scoreboard-stream,match730_003772273407471648848_0265700985_129.dem,278.5,1,1586.31,304.0,62.91,4,3,2,0.1,249.0,0.3,211.9,38.8,573.9,0.0,71,123283,6685,57B05B1C4482AA2B,4.29
gc-nonconc-gen0,scoreboard-stream,match730_003776517348408688739_1163782782_410.dem,280.1,1,1780.43,346.2,89.20,5,4,3,0.1,239.5,0.3,197.5,38.7,561.8,0.0,80,121233,4430,2B7389B39117B38B,4.03
gc-nonconc-gen0,scoreboard-stream,match730_003777343659314249787_1857131197_392.dem,280.8,1,2113.15,341.4,80.58,5,4,3,0.1,202.2,0.3,179.5,38.8,541.4,0.0,94,149109,5143,728E758BCFF675DC,3.87
gc-nonconc-gen0,scoreboard-stream,match730_003774148188613640349_0469622444_125.dem,330.0,1,1799.53,342.7,57.90,4,3,2,0.1,252.8,0.3,213.0,38.8,624.6,0.0,81,145716,6473,0E55AF9447B23711,3.72
gc-nonconc-gen0,scoreboard-stream,match730_003774170838123675757_1031274198_117.dem,350.0,1,1650.20,362.0,94.17,5,4,3,0.1,254.8,0.3,213.0,38.7,646.5,0.0,73,162641,6156,3E090A9D156FFA19,3.66
gc-nonconc-gen0,scoreboard-stream,match730_003779845759084527650_0449092279_123.dem,431.5,1,1946.58,422.5,88.17,5,4,3,0.1,248.6,0.3,211.9,38.8,728.3,0.0,87,196844,7648,5C8760AB6C12F4E3,3.53
gc-nonconc-gen0,scoreboard-stream,match730_003770625492944683328_1992712646_129.dem,492.4,1,2127.70,520.3,114.83,6,5,3,0.1,254.7,0.3,215.8,38.6,792.8,0.0,95,223628,8574,6554E87DCD1D6F1B,3.40
gc-nonconc-gen0,scoreboard-stream,match730_003774064632172380508_1522348072_129.dem,524.3,1,2746.42,555.5,153.69,7,6,3,0.1,260.6,0.3,230.1,38.6,829.3,0.0,121,228902,8635,E5159190B740B70E,3.29
