variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
base-776de80,parse,match730_003774074388190593393_1164257366_406.dem,40.0,1,264.24,136.0,25.60,8,5,2,0.1,179.5,0.3,135.1,38.7,194.4,0.0,13,35731,72845,75C9A55548003AF2,3.99
base-776de80,materialise,match730_003774074388190593393_1164257366_406.dem,40.0,1,270.78,102.2,24.76,8,5,2,0.1,144.7,0.3,99.7,38.9,199.6,0.0,14,35731,72845,75C9A55548003AF2,3.99
base-776de80,parse,match730_003774158895967109270_0748090338_404.dem,203.5,1,676.64,589.9,80.83,25,14,4,0.1,744.6,0.3,595.0,38.8,650.2,0.0,32,91566,188695,3EBAE4C294946B28,3.83
base-776de80,materialise,match730_003774158895967109270_0748090338_404.dem,203.5,1,738.62,363.6,82.37,25,14,4,0.1,518.1,0.3,368.3,38.8,627.4,0.0,35,91566,188695,3EBAE4C294946B28,3.61
base-776de80,parse,match730_003776517348408688739_1163782782_410.dem,280.1,1,773.11,794.2,122.09,35,20,4,0.1,1014.1,0.3,807.2,38.9,851.6,0.0,37,121233,248011,D984235DD5F7FFAF,3.40
base-776de80,materialise,match730_003776517348408688739_1163782782_410.dem,280.1,1,854.09,473.7,111.13,34,19,4,0.1,688.1,0.3,477.6,38.9,811.5,0.0,41,121233,248011,D984235DD5F7FFAF,3.40
base-776de80,parse,match730_003779845759084527650_0449092279_123.dem,431.5,1,1077.45,1242.4,213.41,49,27,3,0.1,1307.9,0.3,1249.0,39.0,1289.8,0.0,49,196844,404044,9EBC6DE1E1F0CCD4,4.00
base-776de80,materialise,match730_003779845759084527650_0449092279_123.dem,431.5,1,1099.41,743.3,219.11,50,27,4,0.1,806.9,0.3,748.6,38.9,1224.4,0.0,49,196844,404044,9EBC6DE1E1F0CCD4,3.76
base-776de80,parse,match730_003774064632172380508_1522348072_129.dem,524.3,1,1256.89,1482.5,238.26,58,30,3,0.1,1608.4,0.3,1479.3,38.8,1513.2,0.0,58,228902,467632,E137826A952C8F24,3.54
base-776de80,materialise,match730_003774064632172380508_1522348072_129.dem,524.3,1,1219.16,867.2,228.69,59,31,4,0.1,993.9,0.3,865.1,38.9,1436.0,0.0,56,228902,467632,E137826A952C8F24,3.26
