variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
one-loop,parse,match730_003774074388190593393_1164257366_406.dem,40.0,1,305.42,137.0,82.94,14,10,10,0.1,165.1,0.3,130.8,38.8,185.4,0.0,10,35731,72845,75C9A55548003AF2,3.74
one-loop,materialise,match730_003774074388190593393_1164257366_406.dem,40.0,1,348.52,103.1,119.97,16,12,12,0.1,137.6,0.3,97.0,38.7,193.2,0.0,12,35731,72845,75C9A55548003AF2,3.74
one-loop,parse,match730_003774158895967109270_0748090338_404.dem,203.5,1,1092.29,586.4,570.66,39,29,23,0.1,689.2,0.3,570.3,38.8,621.4,0.0,23,91566,188695,3EBAE4C294946B28,3.68
one-loop,materialise,match730_003774158895967109270_0748090338_404.dem,203.5,1,1240.01,364.5,681.18,40,31,27,0.1,492.5,0.3,351.1,38.9,604.2,0.0,27,91566,188695,3EBAE4C294946B28,3.54
one-loop,parse,match730_003776517348408688739_1163782782_410.dem,280.1,1,1405.57,784.7,856.47,47,34,26,0.1,953.7,0.3,764.8,38.7,814.6,0.0,26,121233,248011,D984235DD5F7FFAF,3.42
one-loop,materialise,match730_003776517348408688739_1163782782_410.dem,280.1,1,1492.14,472.7,838.36,51,36,28,0.1,663.3,0.3,455.3,38.9,785.3,0.0,27,121233,248011,D984235DD5F7FFAF,3.31
one-loop,parse,match730_003779845759084527650_0449092279_123.dem,431.5,1,2549.39,1232.3,1796.62,71,49,36,0.1,1235.1,0.3,1202.3,38.8,1243.2,0.0,36,196844,404044,9EBC6DE1E1F0CCD4,3.20
one-loop,materialise,match730_003779845759084527650_0449092279_123.dem,431.5,1,2299.68,742.9,1577.17,68,47,33,0.1,769.9,0.3,715.2,38.7,1190.1,0.0,33,196844,404044,9EBC6DE1E1F0CCD4,3.19
one-loop,parse,match730_003774064632172380508_1522348072_129.dem,524.3,1,3033.83,1462.5,2160.82,82,55,38,0.1,1508.1,0.3,1429.0,38.9,1470.4,0.0,38,228902,467632,E137826A952C8F24,3.41
one-loop,materialise,match730_003774064632172380508_1522348072_129.dem,524.3,1,3038.72,867.2,2185.47,87,59,42,0.1,952.0,0.3,833.3,38.8,1400.2,0.0,42,228902,467632,E137826A952C8F24,3.38
