variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
one-loop,parse,match730_003774074388190593393_1164257366_406.dem,40.0,1,255.60,137.0,25.02,8,5,2,0.1,179.5,0.3,135.4,38.6,194.9,0.0,13,35731,72845,75C9A55548003AF2,3.16
one-loop,materialise,match730_003774074388190593393_1164257366_406.dem,40.0,1,263.34,104.4,24.15,8,5,2,0.1,146.9,0.3,101.4,38.8,200.6,0.0,14,35731,72845,75C9A55548003AF2,3.16
one-loop,parse,match730_003774158895967109270_0748090338_404.dem,203.5,1,746.77,586.4,82.95,25,14,4,0.1,728.7,0.3,591.0,38.8,648.9,0.0,35,91566,188695,3EBAE4C294946B28,3.15
one-loop,materialise,match730_003774158895967109270_0748090338_404.dem,203.5,1,677.18,363.4,84.02,25,14,4,0.1,517.8,0.3,368.3,38.7,625.7,0.0,30,91566,188695,3EBAE4C294946B28,3.05
one-loop,parse,match730_003776517348408688739_1163782782_410.dem,280.1,1,765.69,783.8,114.01,34,19,4,0.1,997.8,0.3,789.3,38.7,846.0,0.0,37,121233,248011,D984235DD5F7FFAF,3.05
one-loop,materialise,match730_003776517348408688739_1163782782_410.dem,280.1,1,802.86,471.7,108.77,34,19,4,0.1,696.0,0.3,475.2,38.8,816.1,0.0,38,121233,248011,D984235DD5F7FFAF,3.85
one-loop,parse,match730_003779845759084527650_0449092279_123.dem,431.5,1,1175.50,1229.9,211.13,50,27,4,0.1,1297.5,0.3,1235.0,38.8,1288.5,0.0,53,196844,404044,9EBC6DE1E1F0CCD4,3.62
one-loop,materialise,match730_003779845759084527650_0449092279_123.dem,431.5,1,1150.05,744.5,204.61,50,28,4,0.1,810.6,0.3,751.3,38.8,1224.2,0.0,52,196844,404044,9EBC6DE1E1F0CCD4,3.41
one-loop,parse,match730_003774064632172380508_1522348072_129.dem,524.3,1,1222.48,1462.7,231.66,59,31,4,0.1,1589.3,0.3,1461.5,38.7,1516.1,0.0,57,228902,467632,E137826A952C8F24,3.22
one-loop,materialise,match730_003774064632172380508_1522348072_129.dem,524.3,1,1273.24,867.1,233.85,59,31,4,0.1,993.5,0.3,865.5,38.9,1436.8,0.0,58,228902,467632,E137826A952C8F24,3.04
one-loop,parse,match730_003774074388190593393_1164257366_406.dem,40.0,2,271.76,138.2,25.86,8,5,2,0.1,180.8,0.3,136.1,38.8,194.8,0.0,13,35731,72845,75C9A55548003AF2,3.04
one-loop,materialise,match730_003774074388190593393_1164257366_406.dem,40.0,2,257.89,103.2,26.00,8,5,2,0.1,145.7,0.3,100.7,38.8,199.2,0.0,13,35731,72845,75C9A55548003AF2,2.88
one-loop,parse,match730_003774158895967109270_0748090338_404.dem,203.5,2,678.23,586.3,85.57,24,13,3,0.1,741.3,0.3,591.8,38.7,648.6,0.0,30,91566,188695,3EBAE4C294946B28,2.73
one-loop,materialise,match730_003774158895967109270_0748090338_404.dem,203.5,2,676.58,362.3,83.39,25,14,4,0.1,516.8,0.3,367.1,38.6,628.9,0.0,32,91566,188695,3EBAE4C294946B28,2.73
