variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
one-producer,scoreboard-materialised,match730_003774158895967109270_0748090338_404.dem,0.0,1,2380.59,715.2,167.73,37,19,4,0.1,867.5,0.3,658.5,38.7,737.0,0.0,106,91566,188750,57458BBFA438614F,3.25
one-producer,scoreboard-stream,match730_003774158895967109270_0748090338_404.dem,0.0,1,1362.48,221.3,125.57,31,16,6,0.1,138.1,0.3,92.4,38.6,379.9,0.0,62,91566,4689,57458BBFA438614F,3.07
one-producer,scoreboard-materialised,match730_003774064632172380508_1522348072_129.dem,0.0,1,3277.85,1684.5,390.11,78,42,4,0.1,1788.4,0.3,1592.8,38.6,1674.5,0.0,146,228902,467809,E5159190B740B70E,2.98
one-producer,scoreboard-stream,match730_003774064632172380508_1522348072_129.dem,0.0,1,4703.86,512.0,379.69,73,40,13,0.1,184.2,0.3,116.6,38.7,727.0,0.0,211,228902,8635,E5159190B740B70E,2.90
one-producer,scoreboard-materialised,match730_003779845759084527650_0449092279_123.dem,0.0,1,2723.24,1413.4,341.45,64,34,3,0.1,1497.2,0.3,1332.6,38.8,1418.9,0.0,119,196844,404172,5C8760AB6C12F4E3,3.81
one-producer,scoreboard-stream,match730_003779845759084527650_0449092279_123.dem,0.0,1,3829.50,402.6,286.11,58,32,11,0.1,166.4,0.3,113.6,38.7,621.1,0.0,172,196844,7648,5C8760AB6C12F4E3,3.58
one-producer,scoreboard-materialised,match730_003774074388190593393_1164257366_406.dem,0.0,1,862.41,197.2,57.18,15,8,3,0.1,237.8,0.3,179.2,38.6,264.2,0.0,40,35731,72871,1AE75EE5C5EA9B82,3.86
one-producer,scoreboard-stream,match730_003774074388190593393_1164257366_406.dem,0.0,1,748.20,101.9,51.89,13,7,3,0.1,97.6,0.3,65.8,38.6,191.0,0.0,35,35731,1042,1AE75EE5C5EA9B82,3.87
one-producer,scoreboard-materialised,match730_003776517348408688739_1163782782_410.dem,0.0,1,2506.26,934.4,219.14,49,28,4,0.1,1030.4,0.3,878.9,38.8,962.7,0.0,112,121233,248117,2B7389B39117B38B,3.64
one-producer,scoreboard-stream,match730_003776517348408688739_1163782782_410.dem,0.0,1,1980.81,314.9,195.65,44,25,8,0.1,156.9,0.3,107.1,38.7,473.7,0.0,90,121233,4430,2B7389B39117B38B,3.51
