variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
0240955,scoreboard-stream,match730_003774074388190593393_1164257366_406.dem,40.0,1,1873.12,189.1,588.83,65,61,61,0.1,98.3,0.3,56.0,38.6,185.8,0.0,61,35731,1042,1AE75EE5C5EA9B82,3.68
0240955,entity-replay,match730_003774074388190593393_1164257366_406.dem,40.0,1,835.02,118.5,111.14,34,34,34,0.1,29.3,0.3,22.5,38.5,128.5,0.0,34,35731,10,374FE16E690989F3,3.68
0240955,scoreboard-stream,match730_003774267902237081923_1151265719_407.dem,62.4,1,2439.59,327.9,892.31,96,76,76,0.1,113.9,0.3,71.8,38.7,226.2,0.0,75,59512,1376,C2AEFE4403835EFD,3.55
0240955,entity-replay,match730_003774267902237081923_1151265719_407.dem,62.4,1,1599.79,308.6,263.88,71,62,62,0.1,34.9,0.3,27.3,38.7,156.9,0.0,62,59512,16,E451A3CD3103A90F,3.66
0240955,scoreboard-stream,match730_003780635290037649646_0665775997_405.dem,146.4,1,4052.97,407.2,1514.47,142,122,121,0.1,117.0,0.3,73.0,38.6,317.8,0.0,120,71567,2581,4BA08C8E8EB9676E,3.53
0240955,entity-replay,match730_003780635290037649646_0665775997_405.dem,146.4,1,1903.32,286.1,283.34,75,75,75,0.1,29.2,0.3,23.7,38.5,236.3,0.0,75,71567,18,8234508E8109C42E,3.57
0240955,scoreboard-stream,match730_003774158895967109270_0748090338_404.dem,203.5,1,4872.59,511.1,1972.86,154,137,137,0.1,131.8,0.3,75.2,38.7,376.4,0.0,136,91566,4689,57458BBFA438614F,3.36
0240955,entity-replay,match730_003774158895967109270_0748090338_404.dem,203.5,1,1960.32,357.4,319.11,76,76,76,0.1,34.2,0.3,26.5,38.7,296.5,0.0,76,91566,23,8250F2AB2D82B7A7,3.33
0240955,scoreboard-stream,match730_003774343117851853026_1332064495_118.dem,218.2,1,4553.85,571.7,1896.07,160,128,128,0.1,128.6,0.3,82.3,38.6,398.8,0.0,128,110442,4316,DF158C4AC154E538,3.23
0240955,entity-replay,match730_003774343117851853026_1332064495_118.dem,218.2,1,2231.07,417.8,376.99,86,86,86,0.1,35.5,0.3,26.5,38.6,309.1,0.0,86,110442,28,46E6C0269DEF4825,3.37
0240955,scoreboard-stream,match730_003776138027634524837_1685184808_389.dem,275.3,1,4598.77,677.7,1985.72,166,127,127,0.1,126.1,0.3,79.6,38.8,453.5,0.0,127,123467,5253,CB57B38493D40292,3.34
0240955,entity-replay,match730_003776138027634524837_1685184808_389.dem,275.3,1,2862.23,536.5,480.21,113,110,110,0.1,33.5,0.3,26.4,38.7,369.2,0.0,110,123467,31,5C29C621326CDAD4,3.47
0240955,scoreboard-stream,match730_003778819064332288309_2122969707_408.dem,276.2,1,5043.90,703.8,2088.28,184,143,143,0.1,131.5,0.3,82.8,38.7,457.5,0.0,143,130670,5181,3334374219FCC27A,3.43
0240955,entity-replay,match730_003778819064332288309_2122969707_408.dem,276.2,1,3084.75,554.1,521.81,119,118,118,0.1,35.6,0.3,26.7,38.6,370.2,0.0,118,130670,33,3AF2C7BA376F3E76,3.45
0240955,scoreboard-stream,match730_003772273407471648848_0265700985_129.dem,278.5,1,4725.99,673.3,1939.55,178,136,136,0.1,128.1,0.3,80.2,38.6,457.3,0.0,135,123283,6685,57B05B1C4482AA2B,3.33
0240955,entity-replay,match730_003772273407471648848_0265700985_129.dem,278.5,1,3032.95,517.1,501.81,117,117,117,0.1,33.6,0.3,25.8,38.8,370.2,0.0,117,123283,31,7AB9D5057F71745F,3.70
0240955,scoreboard-stream,match730_003776517348408688739_1163782782_410.dem,280.1,1,5591.74,779.4,2576.81,204,150,149,0.1,144.2,0.3,88.1,38.7,466.7,0.0,148,121233,4430,2B7389B39117B38B,3.73
0240955,entity-replay,match730_003776517348408688739_1163782782_410.dem,280.1,1,3644.86,770.3,721.25,166,136,136,0.1,38.1,0.3,28.5,38.7,377.2,0.0,136,121233,31,E37DC0AE462A3EB9,3.60
0240955,scoreboard-stream,match730_003777343659314249787_1857131197_392.dem,280.8,1,5457.95,707.6,2201.38,196,156,156,0.1,116.9,0.3,74.4,38.7,454.8,0.0,156,149109,5143,728E758BCFF675DC,3.55
0240955,entity-replay,match730_003777343659314249787_1857131197_392.dem,280.8,1,2738.12,531.8,423.35,107,107,107,0.1,29.6,0.3,23.8,38.5,372.9,0.0,107,149109,38,1900E5AC7B62AF67,3.67
0240955,scoreboard-stream,match730_003774148188613640349_0469622444_125.dem,330.0,1,5248.53,758.4,2213.00,194,149,148,0.1,127.6,0.3,80.9,38.7,509.4,0.0,147,145716,6473,0E55AF9447B23711,3.70
0240955,entity-replay,match730_003774148188613640349_0469622444_125.dem,330.0,1,2982.80,575.6,517.23,115,114,114,0.1,34.4,0.3,26.2,38.5,421.4,0.0,114,145716,37,FF362994FD749858,3.51
0240955,scoreboard-stream,match730_003774170838123675757_1031274198_117.dem,350.0,1,5214.33,821.8,2255.60,201,146,145,0.1,128.6,0.3,81.1,38.7,530.0,0.0,145,162641,6156,3E090A9D156FFA19,3.31
0240955,entity-replay,match730_003774170838123675757_1031274198_117.dem,350.0,1,3319.24,666.0,578.73,133,126,126,0.1,32.9,0.3,26.2,38.8,442.8,0.0,126,162641,41,EBC28F7ED5D75699,3.36
0240955,scoreboard-stream,match730_003779845759084527650_0449092279_123.dem,431.5,1,6133.15,971.4,2661.10,229,171,170,0.1,134.8,0.3,83.1,38.5,613.3,0.0,170,196844,7648,5C8760AB6C12F4E3,3.41
0240955,entity-replay,match730_003779845759084527650_0449092279_123.dem,431.5,1,3761.00,755.2,659.55,143,143,143,0.1,35.0,0.3,26.9,38.5,522.4,0.0,143,196844,49,942A25ADA241991B,3.52
0240955,scoreboard-stream,match730_003770625492944683328_1992712646_129.dem,492.4,1,7009.05,1259.1,3436.91,280,185,183,0.1,149.9,0.3,90.5,38.5,681.8,0.0,182,223628,8574,6554E87DCD1D6F1B,3.55
0240955,entity-replay,match730_003770625492944683328_1992712646_129.dem,492.4,1,6149.33,1303.4,1255.75,278,227,227,0.1,39.2,0.3,29.3,38.7,591.0,0.0,227,223628,56,3571BC1F13304985,3.70
0240955,scoreboard-stream,match730_003774064632172380508_1522348072_129.dem,524.3,1,8263.51,1316.4,4187.91,306,208,206,0.1,163.6,0.3,97.0,38.6,720.7,0.0,205,228902,8635,E5159190B740B70E,3.51
0240955,entity-replay,match730_003774064632172380508_1522348072_129.dem,524.3,1,6188.39,1356.6,1341.60,277,225,225,0.1,43.6,0.3,31.5,38.7,620.8,0.0,225,228902,57,269C5DB04576A4E1,3.42
