variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
0240955,entity-replay,match730_003774074388190593393_1164257366_406.dem,40.0,1,737.70,118.5,16.66,16,4,2,0.1,41.2,0.3,28.5,38.7,133.2,0.0,35,35731,10,374FE16E690989F3,4.42
0240955,scoreboard-materialised,match730_003774074388190593393_1164257366_406.dem,40.0,1,1286.47,347.0,150.93,36,15,3,0.1,438.8,0.3,281.8,38.8,369.9,0.0,58,35731,72871,1AE75EE5C5EA9B82,4.31
0240955,scoreboard-stream,match730_003774074388190593393_1164257366_406.dem,40.0,1,1293.90,189.3,98.79,24,11,4,0.1,154.8,0.3,89.6,38.8,225.1,0.0,59,35731,1042,1AE75EE5C5EA9B82,4.12
0240955,tracker-prime,match730_003774074388190593393_1164257366_406.dem,40.0,1,157.80,18.7,5.32,4,4,4,0.1,18.2,0.3,11.1,38.6,79.4,0.0,9,3939,12860120,362E28601A160328,4.12
0240955,entity-replay,match730_003774267902237081923_1151265719_407.dem,62.4,1,1468.46,309.3,58.51,42,16,4,0.1,50.8,0.3,34.4,38.5,163.8,0.0,69,59512,16,E451A3CD3103A90F,4.03
0240955,scoreboard-materialised,match730_003774267902237081923_1151265719_407.dem,62.4,1,2008.27,486.1,226.38,48,23,4,0.1,594.4,0.3,385.8,38.7,473.2,0.0,91,59512,120337,C2AEFE4403835EFD,4.03
0240955,scoreboard-stream,match730_003774267902237081923_1151265719_407.dem,62.4,1,2253.29,328.1,201.71,47,22,7,0.1,205.3,0.3,124.7,38.7,280.5,0.0,103,59512,1376,C2AEFE4403835EFD,3.95
0240955,tracker-prime,match730_003774267902237081923_1151265719_407.dem,62.4,1,198.21,29.1,8.53,6,4,4,0.1,21.4,0.3,19.8,38.8,84.2,0.0,10,3933,17796576,D6B89CA7999AA291,4.11
0240955,entity-replay,match730_003780635290037649646_0665775997_405.dem,146.4,1,1716.98,285.6,31.75,37,4,2,0.1,39.8,0.3,27.2,38.6,239.0,0.0,80,71567,18,8234508E8109C42E,4.02
0240955,scoreboard-materialised,match730_003780635290037649646_0665775997_405.dem,146.4,1,2463.89,780.9,276.36,64,29,4,0.1,781.2,0.3,598.5,38.6,687.1,0.0,107,71567,146305,4BA08C8E8EB9676E,4.02
0240955,scoreboard-stream,match730_003780635290037649646_0665775997_405.dem,146.4,1,3201.25,408.9,233.99,56,23,7,0.1,206.9,0.3,121.3,38.6,369.7,0.0,146,71567,2581,4BA08C8E8EB9676E,4.90
0240955,tracker-prime,match730_003780635290037649646_0665775997_405.dem,146.4,1,208.29,21.2,5.49,4,4,4,0.1,18.6,0.3,11.3,38.5,84.7,0.0,11,4065,12796248,F0B9E18C7A434EC4,4.91
0240955,entity-replay,match730_003774158895967109270_0748090338_404.dem,203.5,1,1853.63,357.7,42.22,46,6,2,0.1,42.8,0.3,28.4,38.6,298.9,0.0,87,91566,23,8250F2AB2D82B7A7,4.68
0240955,scoreboard-materialised,match730_003774158895967109270_0748090338_404.dem,203.5,1,2867.04,1008.6,340.62,78,34,5,0.1,891.6,0.3,775.2,38.5,866.5,0.0,131,91566,188750,57458BBFA438614F,5.10
0240955,scoreboard-stream,match730_003774158895967109270_0748090338_404.dem,203.5,1,3544.54,511.0,259.43,69,26,7,0.1,247.2,0.3,138.3,38.5,443.8,0.0,162,91566,4689,57458BBFA438614F,4.85
0240955,tracker-prime,match730_003774158895967109270_0748090338_404.dem,203.5,1,197.94,20.8,6.62,5,4,4,0.1,18.8,0.3,11.6,38.8,85.4,0.0,11,4065,13175744,FA76E556447C4580,4.54
0240955,entity-replay,match730_003774343117851853026_1332064495_118.dem,218.2,1,1934.15,418.0,47.52,54,8,3,0.1,49.9,0.3,33.4,38.7,317.1,0.0,90,110442,28,46E6C0269DEF4825,4.54
