variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
0bf2072,scoreboard-stream,match730_003774074388190593393_1164257366_406.dem,40.0,1,1384.61,211.4,595.36,50,43,40,0.1,153.5,0.3,92.9,38.6,215.5,0.0,39,35731,1042,1AE75EE5C5EA9B82,2.65
0bf2072,scoreboard-stream,match730_003774267902237081923_1151265719_407.dem,62.4,1,2143.88,347.3,1065.05,80,58,55,0.1,188.6,0.3,117.5,38.5,262.5,0.0,54,59512,1376,C2AEFE4403835EFD,2.65
0bf2072,scoreboard-stream,match730_003780635290037649646_0665775997_405.dem,146.4,1,3090.37,423.9,1540.13,103,79,76,0.1,187.7,0.3,116.0,38.7,343.6,0.0,75,71567,2581,4BA08C8E8EB9676E,2.83
0bf2072,scoreboard-stream,match730_003774158895967109270_0748090338_404.dem,203.5,1,2856.35,511.8,1497.16,111,73,69,0.1,202.2,0.3,126.5,38.6,413.9,0.0,68,91566,4689,57458BBFA438614F,2.69
0bf2072,scoreboard-stream,match730_003774343117851853026_1332064495_118.dem,218.2,1,3354.61,584.4,1808.85,125,81,78,0.1,212.7,0.3,129.1,38.5,431.5,0.0,77,110442,4316,DF158C4AC154E538,2.55
0bf2072,scoreboard-stream,match730_003776138027634524837_1685184808_389.dem,275.3,1,3409.30,675.0,1939.64,139,81,80,0.1,204.9,0.3,126.5,38.6,485.2,0.0,79,123467,5253,CB57B38493D40292,2.43
0bf2072,scoreboard-stream,match730_003778819064332288309_2122969707_408.dem,276.2,1,3698.01,711.4,2092.54,153,90,87,0.1,217.1,0.3,134.3,38.6,489.9,0.0,86,130670,5181,3334374219FCC27A,2.63
0bf2072,scoreboard-stream,match730_003772273407471648848_0265700985_129.dem,278.5,1,3451.82,675.3,1939.56,143,84,81,0.1,206.4,0.3,127.0,38.4,489.5,0.0,80,123283,6685,57B05B1C4482AA2B,2.38
0bf2072,scoreboard-stream,match730_003776517348408688739_1163782782_410.dem,280.1,1,4083.64,784.8,2487.74,161,92,88,0.1,231.2,0.3,138.0,38.6,504.5,0.0,87,121233,4430,2B7389B39117B38B,2.43
0bf2072,scoreboard-stream,match730_003777343659314249787_1857131197_392.dem,280.8,1,3330.63,697.3,1796.92,142,85,81,0.1,189.0,0.3,116.7,38.6,478.7,0.0,80,149109,5143,728E758BCFF675DC,2.32
0bf2072,scoreboard-stream,match730_003774148188613640349_0469622444_125.dem,330.0,1,3771.51,765.4,2140.24,158,91,87,0.1,219.1,0.3,135.8,38.6,541.5,0.0,86,145716,6473,0E55AF9447B23711,2.21
0bf2072,scoreboard-stream,match730_003774170838123675757_1031274198_117.dem,350.0,1,3600.90,814.9,2129.91,163,85,82,0.1,212.3,0.3,130.0,38.8,564.0,0.0,81,162641,6156,3E090A9D156FFA19,2.91
0bf2072,scoreboard-stream,match730_003779845759084527650_0449092279_123.dem,431.5,1,4070.92,959.0,2501.46,189,95,91,0.1,222.1,0.3,136.0,38.6,649.5,0.0,90,196844,7648,5C8760AB6C12F4E3,3.72
0bf2072,scoreboard-stream,match730_003770625492944683328_1992712646_129.dem,492.4,1,6360.59,1245.7,4041.69,250,131,128,0.1,245.1,0.3,146.8,38.6,725.0,0.0,127,223628,8574,6554E87DCD1D6F1B,3.30
0bf2072,scoreboard-stream,match730_003774064632172380508_1522348072_129.dem,524.3,1,6947.55,1310.4,4479.25,257,136,136,0.1,274.3,0.3,166.1,38.7,769.8,0.0,135,228902,8635,E5159190B740B70E,3.44
