variant,arm,demo,size_mb,run,wall_ms,alloc_mb,pause_ms,gen0,gen1,gen2,base_heap_mb,peak_heap_mb,base_committed_mb,peak_committed_mb,base_working_set_mb,peak_working_set_mb,peak_private_mb,samples,frames,messages,digest,load1
0bf2072,file-read,match730_003774074388190593393_1164257366_406.dem,40.0,1,65.70,40.1,0.00,0,0,0,0.1,40.2,0.3,0.3,38.7,79.8,0.0,5,0,41994063,14545CED155D85BB,2.19
0bf2072,message-scan,match730_003774074388190593393_1164257366_406.dem,40.0,1,169.00,24.1,0.81,2,0,0,0.1,8.8,0.3,10.3,38.6,99.0,0.0,10,35731,216327,D73207A3FD979414,2.19
0bf2072,game-events,match730_003774074388190593393_1164257366_406.dem,40.0,1,174.72,13.7,1.03,1,0,0,0.1,9.0,0.3,10.3,38.5,107.7,0.0,10,35731,2066,87FF1B51517EB1A9,2.10
0bf2072,entity-replay,match730_003774074388190593393_1164257366_406.dem,40.0,1,737.79,117.5,15.37,16,4,2,0.1,41.0,0.3,28.6,38.5,134.2,0.0,37,35731,10,374FE16E690989F3,2.10
0bf2072,materialised-replay,match730_003774074388190593393_1164257366_406.dem,40.0,1,749.99,215.2,42.87,19,8,3,0.1,216.2,0.3,161.5,38.5,224.0,0.0,36,35731,10,374FE16E690989F3,2.01
0bf2072,scoreboard-materialised,match730_003774074388190593393_1164257366_406.dem,40.0,1,1113.98,345.9,138.39,36,15,3,0.1,437.0,0.3,279.4,38.5,368.0,0.0,52,35731,72871,1AE75EE5C5EA9B82,2.01
0bf2072,scoreboard-stream,match730_003774074388190593393_1164257366_406.dem,40.0,1,943.94,210.8,127.35,27,11,3,0.1,243.5,0.3,142.6,38.5,263.9,0.0,44,35731,1042,1AE75EE5C5EA9B82,1.93
0bf2072,tracker-prime,match730_003774074388190593393_1164257366_406.dem,40.0,1,138.75,18.7,4.60,4,4,4,0.1,18.2,0.3,11.1,38.5,79.3,0.0,8,3939,12860072,362E28601A160328,1.85
0bf2072,file-read,match730_003774267902237081923_1151265719_407.dem,62.4,1,101.25,62.5,0.00,0,0,0,0.1,62.6,0.3,0.3,38.7,102.1,0.0,6,0,65469354,017B450587735DA8,1.85
0bf2072,message-scan,match730_003774267902237081923_1151265719_407.dem,62.4,1,207.99,38.5,0.49,4,0,0,0.1,10.3,0.3,11.3,38.6,115.3,0.0,11,59512,341017,B0C44B073C874908,1.86
0bf2072,game-events,match730_003774267902237081923_1151265719_407.dem,62.4,1,215.37,20.1,0.91,2,1,0,0.1,10.4,0.3,11.6,38.6,131.9,0.0,12,59512,2415,D8BC3146F7EE71C3,1.86
0bf2072,entity-replay,match730_003774267902237081923_1151265719_407.dem,62.4,1,1334.75,308.6,50.12,42,16,4,0.1,50.5,0.3,33.4,38.6,162.6,0.0,65,59512,16,E451A3CD3103A90F,1.80
0bf2072,materialised-replay,match730_003774267902237081923_1151265719_407.dem,62.4,1,1245.36,451.0,90.03,43,20,3,0.1,334.0,0.3,240.3,38.6,301.1,0.0,59,59512,16,E451A3CD3103A90F,1.80
